,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,Å¸¼®,Å¸À²,BABIP,º¼³Ý%,»ïÁø%,º¼/»ï,ISO,Å¸¼ö/È¨·±,OPS,RC,RC/27,wRC,SPD,wSB,wOBA,wRAA
39,2015,04,03,·Ôµ¥,1,34,0.276,0.333,8.8,23.5,0.38,0.310,29.00,0.919,5.54,6.23,5.66,13.81,0.02,0.389,1.29
40,2015,04,03,»ï¼º,1,40,0.243,0.219,5.0,7.5,0.67,0.216,18.50,0.741,4.45,4.00,3.78,3.69,0.02,0.310,-1.36
41,2015,04,03,ÇÑÈ­,1,39,0.250,0.292,5.1,20.5,0.25,0.188,32.00,0.797,4.54,4.37,5.43,5.08,0.03,0.359,0.42
42,2015,04,03,LG,1,43,0.200,0.250,7.0,18.6,0.38,0.114,-,0.624,3.72,3.24,3.03,2.83,0.02,0.283,-2.50
43,2015,04,03,µÎ»ê,1,32,0.188,0.240,0.0,21.9,0.00,0.000,-,0.376,0.94,0.94,-0.97,0.21,0.02,0.172,-5.08
44,2015,04,03,SK,1,36,0.188,0.235,11.1,36.1,0.31,0.250,16.00,0.716,3.76,3.76,3.44,0.09,0.02,0.311,-1.19
45,2015,04,03,KT,1,35,0.167,0.238,11.4,25.7,0.44,0.100,-,0.553,2.13,2.13,2.00,4.67,0.02,0.269,-2.49
46,2015,04,04,KIA,1,46,0.333,0.400,8.7,21.7,0.40,0.167,21.00,0.891,7.87,6.85,7.94,5.29,0.71,0.395,2.03
47,2015,04,04,LG,1,33,0.300,0.360,6.1,15.2,0.40,0.033,-,0.677,3.15,3.55,3.27,2.77,0.19,0.315,-0.97
48,2015,04,04,SK,1,46,0.289,0.357,15.2,19.6,0.78,0.132,38.00,0.821,7.38,7.12,7.12,5.48,0.21,0.376,1.21
49,2015,04,04,KT,1,38,0.257,0.281,7.9,7.9,1.00,0.086,-,0.659,4.15,4.15,3.34,3.73,0.52,0.302,-1.54
