,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,ÆÀ½Â,ÆÀ¹«,ÆÀÆÐ,RA/G,½ÇÁ¡,ÀÚÃ¥,ÇÇÈ¨·±,º¼³Ý%,»ïÁø%,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
44,2015,4,3,ÇÑÈ­,0,0,1,11.0,11,10,1,16.3,11.6,0.37,45.5,11.25,-0.28,7.04,7.47,-0.05
45,2015,4,3,SK,0,0,1,14.0,14,14,3,13.0,17.4,0.46399999999999997,47.9,15.75,-0.41,9.17,9.18,-0.09
46,2015,4,4,LG,1,0,0,2.0,2,2,1,18.2,33.3,0.0,90.9,2.0,0.57,5.0,4.74,0.18
47,2015,4,4,KIA,1,0,0,2.0,2,2,0,7.9,7.9,0.281,83.3,2.0,0.45,4.0,4.39,0.15
48,2015,4,4,SK,1,0,0,4.0,4,3,0,8.3,25.0,0.292,60.0,3.0,0.18,2.67,2.4,0.24
49,2015,4,4,»ï¼º,0,0,1,3.0,3,3,0,6.1,15.2,0.36,72.7,3.38,0.24,3.17,3.23,0.24
50,2015,4,4,KT,0,0,1,10.0,10,8,2,8.7,21.7,0.4,52.6,8.0,-0.14,5.67,5.35,0.08
51,2015,4,4,Hero,0,0,1,10.0,10,10,1,15.2,19.6,0.35700000000000004,48.2,10.0,-0.31,5.45,5.39,-0.02
52,2015,4,5,KIA,1,0,0,1.0,1,1,0,6.2,15.6,0.24,87.5,1.0,0.57,3.23,3.34,0.22
53,2015,4,5,NC,1,0,0,2.0,2,1,0,0.0,18.2,0.29600000000000004,75.0,1.0,0.43,2.34,2.24,0.31
54,2015,4,5,·Ôµ¥,1,0,0,4.0,4,3,1,2.8,19.4,0.259,65.8,3.0,0.28,3.89,3.75,0.17
55,2015,4,5,LG,1,0,0,5.0,5,5,0,19.4,22.2,0.19,54.5,5.0,0.08,4.23,4.27,0.03
56,2015,4,5,SK,1,0,0,7.0,7,7,3,7.0,20.9,0.37,78.1,7.0,0.02,7.34,7.15,0.07
57,2015,4,5,KT,0,0,1,4.0,4,2,0,21.4,11.9,0.308,76.5,2.0,0.24,5.56,6.04,0.0
58,2015,4,5,»ï¼º,0,0,1,6.0,6,5,0,5.1,17.9,0.414,60.0,5.19,-0.15,3.09,3.03,0.32
59,2015,4,5,ÇÑÈ­,0,0,1,9.0,9,9,3,5.3,15.8,0.33299999999999996,55.6,10.12,-0.15,8.54,8.64,-0.1
60,2015,4,5,Hero,0,0,1,13.0,13,12,2,16.3,18.4,0.39299999999999996,46.9,12.0,-0.39,7.56,7.62,-0.12
61,2015,4,5,µÎ»ê,0,0,1,16.0,16,15,4,22.9,20.8,0.435,46.4,16.88,-0.36,11.79,11.79,-0.26
62,2015,4,7,»ï¼º,1,0,0,1.0,1,1,1,9.4,31.2,0.16699999999999998,107.1,1.0,0.61,3.89,3.52,0.24
63,2015,4,7,NC,1,0,0,3.0,3,2,1,2.9,25.7,0.22699999999999998,75.8,2.0,0.39,3.78,3.48,0.28
64,2015,4,7,SK,1,0,0,2.0,2,2,1,9.8,29.3,0.429,95.2,2.0,0.52,3.78,3.24,0.23
65,2015,4,7,ÇÑÈ­,1,0,0,3.0,3,3,1,16.3,30.6,0.375,90.4,2.45,0.72,4.31,3.87,0.27
66,2015,4,7,Hero,1,0,0,4.0,4,4,0,2.9,25.7,0.4,63.6,4.0,0.22,2.0,1.63,0.46
67,2015,4,7,·Ôµ¥,0,0,1,3.0,3,3,1,13.5,24.3,0.318,86.2,3.38,0.2,4.92,4.67,0.1
68,2015,4,7,KT,0,0,1,3.0,3,3,0,18.4,13.2,0.375,81.2,3.38,0.22,4.67,4.96,0.08
69,2015,4,7,LG,0,0,1,4.0,4,4,0,15.7,11.8,0.424,82.6,3.48,0.48,4.54,4.86,0.12
70,2015,4,7,KIA,0,0,1,5.0,5,5,1,9.8,19.5,0.26899999999999996,71.4,5.0,0.08,5.0,4.98,0.06
71,2015,4,7,µÎ»ê,0,0,1,17.0,17,16,4,3.7,18.5,0.605,51.3,16.0,-0.55,7.89,7.48,-0.05
72,2015,4,8,»ï¼º,1,0,0,2.0,2,0,0,5.4,35.1,0.4,81.8,0.0,0.68,1.78,1.09,0.58
73,2015,4,8,SK,1,0,0,1.0,1,1,0,5.9,32.4,0.23800000000000002,85.7,1.0,0.7,1.89,1.36,0.49
74,2015,4,8,LG,1,0,0,2.0,2,2,0,11.1,19.4,0.318,81.8,2.0,0.54,3.45,3.45,0.25
75,2015,4,8,µÎ»ê,1,0,0,4.0,4,4,0,15.0,22.5,0.348,73.3,4.0,0.18,4.0,3.95,0.19
76,2015,4,8,NC,1,0,0,5.0,5,5,1,14.6,17.1,0.16699999999999998,71.4,5.0,0.24,6.56,6.86,-0.03
77,2015,4,8,KT,0,0,1,2.0,2,1,1,14.7,8.8,0.28,94.8,1.12,0.44,6.42,6.91,-0.07
78,2015,4,8,ÇÑÈ­,0,0,1,3.0,3,3,1,5.6,27.8,0.33299999999999996,81.4,3.0,0.32,3.56,3.14,0.26
79,2015,4,8,·Ôµ¥,0,0,1,4.0,4,4,1,6.5,25.8,0.2,53.6,4.5,0.17,4.04,3.74,0.15
80,2015,4,8,Hero,0,0,1,9.0,9,9,1,10.5,18.4,0.4,44.1,10.12,-0.24,5.04,4.98,0.04
81,2015,4,8,KIA,0,0,1,13.0,13,13,3,13.7,9.8,0.36700000000000005,57.7,13.0,-0.37,10.56,11.2,-0.33
82,2015,4,9,µÎ»ê,1,0,0,0.0,0,0,0,10.0,26.7,0.0,100.0,0.0,0.88,2.89,2.73,0.38
