,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,Å¸¼®,Å¸À²,BABIP,º¼³Ý%,»ïÁø%,º¼/»ï,ISO,Å¸¼ö/È¨·±,OPS,RC,RC/27,wRC,SPD,wSB,wOBA,wRAA
35,2015,4,2,µÎ»ê,1,35,0.156,0.22699999999999998,5.7,28.6,0.20,0.0,-,0.385,1.16,1.11,-0.34,1.66,0.02,0.195,-4.84
36,2015,4,3,Hero,1,46,0.41,0.46399999999999997,13.0,17.4,0.75,0.359,13.00,1.2690000000000001,15.47,17.4,13.84,4.46,0.21,0.536,7.93
37,2015,4,3,KIA,1,41,0.34299999999999997,0.4,14.6,19.5,0.75,0.228,17.50,1.01,8.41,9.09,8.83,1.15,0.04,0.44299999999999995,3.57
38,2015,4,3,NC,1,43,0.33299999999999996,0.37,16.3,11.6,1.40,0.091,33.00,0.887,8.04,8.68,8.17,5.64,0.72,0.415,2.64
39,2015,4,3,·Ôµ¥,1,34,0.276,0.33299999999999996,8.8,23.5,0.38,0.31,29.00,0.919,5.54,6.23,5.66,13.81,0.02,0.389,1.29
40,2015,4,3,»ï¼º,1,40,0.243,0.21899999999999997,5.0,7.5,0.67,0.21600000000000003,18.50,0.741,4.45,4.0,3.78,3.69,0.02,0.31,-1.36
41,2015,4,3,ÇÑÈ­,1,39,0.25,0.292,5.1,20.5,0.25,0.188,32.00,0.797,4.54,4.37,5.43,5.08,0.03,0.359,0.42
42,2015,4,3,LG,1,43,0.2,0.25,7.0,18.6,0.38,0.114,-,0.624,3.72,3.24,3.03,2.83,0.02,0.28300000000000003,-2.5
43,2015,4,3,µÎ»ê,1,32,0.188,0.24,0.0,21.9,0.00,0.0,-,0.376,0.94,0.94,-0.97,0.21,0.02,0.172,-5.08
44,2015,4,3,SK,1,36,0.188,0.235,11.1,36.1,0.31,0.25,16.00,0.716,3.76,3.76,3.44,0.09,0.02,0.311,-1.19
45,2015,4,3,KT,1,35,0.16699999999999998,0.23800000000000002,11.4,25.7,0.44,0.1,-,0.5529999999999999,2.13,2.13,2.0,4.67,0.02,0.26899999999999996,-2.49
46,2015,4,4,KIA,1,46,0.33299999999999996,0.4,8.7,21.7,0.40,0.16699999999999998,21.00,0.8909999999999999,7.87,6.85,7.94,5.29,0.71,0.395,2.03
47,2015,4,4,LG,1,33,0.3,0.36,6.1,15.2,0.40,0.033,-,0.677,3.15,3.55,3.27,2.77,0.19,0.315,-0.97
48,2015,4,4,SK,1,46,0.289,0.35700000000000004,15.2,19.6,0.78,0.132,38.00,0.821,7.38,7.12,7.12,5.48,0.21,0.376,1.21
49,2015,4,4,KT,1,38,0.257,0.281,7.9,7.9,1.00,0.086,-,0.659,4.15,4.15,3.34,3.73,0.52,0.302,-1.54
50,2015,4,4,Hero,1,36,0.212,0.292,8.3,25.0,0.33,0.121,-,0.611,3.21,3.21,2.36,4.31,0.35,0.278,-2.26
51,2015,4,4,»ï¼º,1,33,0.038,0.0,18.2,33.3,0.54,0.11599999999999999,26.00,0.396,0.96,0.93,0.27,1.32,0.19,0.215,-3.97
