,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,Å¸¼®,Å¸¼ö,¾ÈÅ¸,´ÜÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,µæÁ¡,Å¸Á¡,º¼³Ý,°íÀÇ4±¸,»ç±¸,»ïÁø,Èñ»ýÇÃ¶óÀÌ,Èñ»ýÅ¸,º´»ì,µµ·ç,µµ½Ç,Å¸À²
51,2015,4,4,Hero,1,36,33,7,3,4,0,0,4,3,3,0,0,9,0,0,1,2,0,0.212
52,2015,4,5,NC,1,38,33,11,7,1,0,3,9,9,2,0,2,6,0,1,0,2,0,0.33299999999999996
53,2015,4,5,LG,1,39,34,12,10,2,0,0,6,5,2,0,1,7,2,2,1,1,0,0.353
54,2015,4,5,SK,1,49,39,13,8,3,0,2,13,11,8,0,1,9,0,1,1,5,0,0.33299999999999996
55,2015,4,5,Hero,1,43,37,13,6,4,0,3,7,7,3,0,1,9,2,2,0,0,0,0.35100000000000003
56,2015,4,5,·Ôµ¥,1,48,37,14,7,3,0,4,16,14,11,0,0,10,0,0,3,0,0,0.37799999999999995
57,2015,4,5,KIA,1,42,31,8,6,2,0,0,4,4,9,0,0,5,0,2,2,0,0,0.258
58,2015,4,5,ÇÑÈ­,1,33,33,8,7,1,0,0,2,2,0,0,0,6,0,0,2,0,0,0.242
59,2015,4,5,µÎ»ê,1,36,35,8,7,0,0,1,4,4,1,0,0,7,0,0,0,2,0,0.22899999999999998
60,2015,4,5,KT,1,32,30,6,4,2,0,0,1,1,2,0,0,5,0,0,3,0,0,0.2
61,2015,4,5,»ï¼º,1,36,28,4,4,0,0,0,5,5,7,0,0,8,1,1,1,2,0,0.14300000000000002
62,2015,4,7,NC,1,41,35,8,3,3,1,1,5,5,4,1,2,8,0,0,0,3,0,0.22899999999999998
63,2015,4,7,ÇÑÈ­,1,51,39,14,13,1,0,0,4,4,8,2,1,6,0,3,1,1,0,0.359
64,2015,4,7,KIA,1,35,31,6,4,1,0,1,3,3,1,0,1,9,1,2,0,0,0,0.19399999999999998
65,2015,4,7,Hero,1,54,52,27,17,5,1,4,17,16,2,0,0,10,0,0,1,0,0,0.519
66,2015,4,7,SK,1,38,29,9,8,1,0,0,3,3,7,1,0,5,0,2,0,0,0,0.31
67,2015,4,7,»ï¼º,1,37,31,8,6,1,0,1,3,3,5,0,0,9,1,1,0,2,0,0.258
68,2015,4,7,µÎ»ê,1,35,34,10,7,3,0,0,4,3,1,0,0,9,0,0,2,1,0,0.294
69,2015,4,7,KT,1,41,34,10,7,2,0,1,2,2,4,0,0,12,0,3,0,2,0,0.294
70,2015,4,7,LG,1,49,40,10,9,0,0,1,3,2,8,0,0,15,0,1,1,1,0,0.25
71,2015,4,7,·Ôµ¥,1,32,29,4,2,1,0,1,1,1,3,0,0,10,0,0,1,0,0,0.138
72,2015,4,8,NC,1,51,38,14,8,3,0,3,13,13,7,0,4,5,0,2,0,0,0,0.368
73,2015,4,8,KIA,1,41,32,5,4,0,0,1,5,4,6,0,3,7,0,0,0,1,0,0.156
74,2015,4,8,·Ôµ¥,1,37,31,8,8,0,0,0,2,2,2,0,1,13,2,3,1,2,0,0.258
75,2015,4,8,Hero,1,40,32,8,5,3,0,0,4,4,6,0,1,9,0,1,0,1,0,0.25
76,2015,4,8,µÎ»ê,1,38,33,11,7,3,0,1,9,9,4,0,0,7,0,1,0,2,0,0.33299999999999996
77,2015,4,8,SK,1,34,28,8,6,1,0,1,2,2,5,0,0,3,1,1,3,0,0,0.28600000000000003
78,2015,4,8,LG,1,36,32,8,5,2,0,1,3,2,2,0,0,10,0,2,0,1,0,0.25
79,2015,4,8,»ï¼º,1,31,28,5,4,0,0,1,4,4,2,0,0,8,1,1,0,1,0,0.179
80,2015,4,8,ÇÑÈ­,1,36,29,7,5,1,1,0,2,2,4,0,0,7,0,3,1,1,0,0.24100000000000002
81,2015,4,8,KT,1,34,32,5,4,1,0,0,1,1,2,0,0,11,0,0,0,1,0,0.156
82,2015,4,9,·Ôµ¥,1,38,34,9,6,2,0,1,4,4,1,0,2,4,0,1,1,1,0,0.265
83,2015,4,9,»ï¼º,1,42,33,11,8,0,0,3,5,5,6,0,1,5,0,2,0,2,0,0.33299999999999996
84,2015,4,9,ÇÑÈ­,1,37,32,7,3,3,0,1,5,4,3,0,1,9,0,1,0,0,0,0.21899999999999997
85,2015,4,9,KT,1,35,34,7,5,1,0,1,2,2,0,0,1,8,0,0,0,0,0,0.20600000000000002
