,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,QS,¿ÏÅõ,¿ÏºÀ,»ïÁø/9,º¼³Ý/9,È¨·±/9,»ï/º¼,ÇÇ¾ÈÅ¸À²,ÇÇÃâ·çÀ²,ÇÇÀåÅ¸À²,ÇÇOPS,WHIP,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
34,2015,04,02,ÇÑÈ­,1,0,0,0,10.00,2.00,0.00,5.00,0.156,0.229,0.156,0.385,0.78,0.227,75.0,0.00,0.48,2.45,2.08,0.38
35,2015,04,02,µÎ»ê,1,0,0,0,12.38,12.38,0.00,1.00,0.250,0.462,0.286,0.747,2.25,0.412,77.8,4.50,0.13,5.05,4.90,-0.01
36,2015,04,03,·Ôµ¥,1,1,0,0,7.00,0.00,0.00,-,0.188,0.188,0.188,0.375,0.67,0.240,100.0,0.00,0.78,2.12,1.91,0.42
37,2015,04,03,KIA,1,1,0,0,9.00,4.00,0.00,2.25,0.167,0.286,0.267,0.552,1.00,0.238,100.0,0.00,0.71,3.34,3.18,0.32
38,2015,04,03,»ï¼º,1,1,0,0,7.20,2.70,0.00,2.67,0.200,0.310,0.314,0.624,1.00,0.250,76.9,0.90,0.75,3.57,3.61,0.31
39,2015,04,03,Hero,1,1,0,0,13.00,4.00,2.00,3.25,0.188,0.278,0.438,0.715,1.11,0.235,97.2,3.00,0.44,5.00,4.36,0.27
40,2015,04,03,NC,1,0,0,0,8.00,2.00,1.00,4.00,0.250,0.359,0.438,0.796,1.11,0.292,63.5,6.00,0.16,5.34,5.38,0.09
41,2015,04,03,KT,1,0,0,0,8.00,6.00,2.00,1.33,0.343,0.439,0.571,1.010,2.00,0.400,85.5,5.00,0.13,6.78,6.79,-0.02
42,2015,04,03,µÎ»ê,1,1,0,0,9.00,3.38,1.12,2.67,0.276,0.333,0.586,0.920,1.38,0.333,62.5,5.62,0.36,4.42,4.18,0.36
43,2015,04,03,LG,1,1,0,0,2.70,1.80,1.80,1.50,0.243,0.282,0.459,0.742,1.10,0.219,48.8,6.30,-0.24,5.97,6.29,0.00
44,2015,04,03,ÇÑÈ­,1,0,0,0,5.62,7.88,1.12,0.71,0.333,0.463,0.424,0.888,2.25,0.370,45.5,11.25,-0.28,7.05,7.48,-0.05
45,2015,04,03,SK,1,0,0,0,9.00,6.75,3.38,1.33,0.410,0.500,0.769,1.269,2.75,0.464,47.9,15.75,-0.41,9.17,9.19,-0.09
46,2015,04,04,KIA,1,1,0,0,3.00,3.00,0.00,1.00,0.257,0.316,0.343,0.659,1.33,0.281,83.3,2.00,0.45,4.00,4.39,0.15
47,2015,04,04,LG,1,1,0,0,11.00,6.00,1.00,1.83,0.038,0.242,0.154,0.396,0.78,0.000,90.9,2.00,0.57,5.00,4.74,0.18
48,2015,04,04,SK,1,0,0,0,9.00,3.00,0.00,3.00,0.212,0.278,0.333,0.611,1.11,0.292,60.0,3.00,0.18,2.67,2.40,0.24
49,2015,04,04,»ï¼º,1,1,0,0,5.62,2.25,0.00,2.50,0.300,0.344,0.333,0.677,1.38,0.360,72.7,3.38,0.24,3.17,3.23,0.24
50,2015,04,04,KT,1,0,0,0,10.00,4.00,2.00,2.50,0.333,0.391,0.500,0.891,2.00,0.400,52.6,8.00,-0.14,5.67,5.36,0.08
51,2015,04,04,Hero,1,0,0,0,9.00,7.00,1.00,1.29,0.289,0.400,0.421,0.821,2.00,0.357,48.2,10.00,-0.31,5.45,5.40,-0.02
52,2015,04,05,NC,1,1,0,0,6.00,0.00,0.00,-,0.242,0.242,0.273,0.515,0.89,0.296,75.0,1.00,0.43,2.34,2.24,0.31
53,2015,04,05,KIA,1,0,0,0,5.00,2.00,0.00,2.50,0.200,0.250,0.267,0.517,0.89,0.240,87.5,1.00,0.57,3.23,3.34,0.22
54,2015,04,05,·Ôµ¥,1,0,0,0,7.00,1.00,1.00,7.00,0.229,0.250,0.314,0.564,1.00,0.259,65.8,3.00,0.28,3.89,3.74,0.17
55,2015,04,05,LG,1,0,0,0,8.00,7.00,0.00,1.14,0.143,0.306,0.143,0.448,1.22,0.190,54.5,5.00,0.08,4.23,4.28,0.03
56,2015,04,05,SK,1,0,0,0,9.00,3.00,3.00,3.00,0.351,0.395,0.703,1.098,1.78,0.370,78.1,7.00,0.02,7.34,7.15,0.07
57,2015,04,05,KT,1,1,0,0,5.00,9.00,0.00,0.56,0.258,0.425,0.323,0.748,1.89,0.308,76.5,2.00,0.24,5.56,6.04,0.00
58,2015,04,05,»ï¼º,1,1,0,0,7.27,2.08,0.00,3.50,0.353,0.385,0.412,0.796,1.62,0.414,60.0,5.19,-0.15,3.09,3.03,0.32
59,2015,04,05,ÇÑÈ­,1,0,0,0,6.75,2.25,3.38,3.00,0.333,0.405,0.636,1.042,1.62,0.333,55.6,10.12,-0.15,8.55,8.64,-0.10
60,2015,04,05,Hero,1,0,0,0,9.00,8.00,2.00,1.12,0.333,0.458,0.564,1.022,2.33,0.393,46.9,12.00,-0.39,7.56,7.63,-0.12
61,2015,04,05,µÎ»ê,1,0,0,0,11.25,12.38,4.50,0.91,0.378,0.521,0.784,1.305,3.12,0.435,46.4,16.88,-0.36,11.80,11.80,-0.26
62,2015,04,07,»ï¼º,1,1,0,0,10.00,3.00,1.00,3.33,0.138,0.219,0.276,0.495,0.78,0.167,107.1,1.00,0.61,3.89,3.52,0.24
63,2015,04,07,SK,1,0,0,0,12.00,4.00,1.00,3.00,0.294,0.368,0.441,0.810,1.56,0.429,95.2,2.00,0.52,3.78,3.24,0.23
64,2015,04,07,NC,1,1,0,0,9.00,1.00,1.00,9.00,0.194,0.235,0.323,0.558,0.78,0.227,75.8,2.00,0.39,3.78,3.48,0.28
65,2015,04,07,ÇÑÈ­,1,0,0,0,12.27,6.55,0.82,1.88,0.250,0.375,0.325,0.700,1.64,0.375,90.4,2.45,0.72,4.31,3.87,0.27
66,2015,04,07,Hero,1,1,0,0,9.00,1.00,0.00,9.00,0.294,0.314,0.382,0.697,1.22,0.400,63.6,4.00,0.22,2.00,1.63,0.46
67,2015,04,07,·Ôµ¥,1,0,0,0,10.12,5.62,1.12,1.80,0.258,0.351,0.387,0.738,1.62,0.318,86.2,3.38,0.20,4.92,4.67,0.10
68,2015,04,07,KT,1,0,0,0,5.62,7.88,0.00,0.71,0.310,0.444,0.345,0.789,2.00,0.375,81.2,3.38,0.22,4.67,4.97,0.08
69,2015,04,07,LG,1,0,0,0,5.23,6.97,0.00,0.75,0.359,0.479,0.385,0.864,2.13,0.424,82.6,3.48,0.48,4.54,4.86,0.12
70,2015,04,07,KIA,1,0,0,0,8.00,4.00,1.00,2.00,0.229,0.341,0.457,0.799,1.33,0.269,71.4,5.00,0.08,5.00,4.98,0.06
71,2015,04,07,µÎ»ê,1,0,0,0,10.00,2.00,4.00,5.00,0.519,0.537,0.885,1.422,3.22,0.605,51.3,16.00,-0.55,7.89,7.49,-0.05
72,2015,04,08,»ï¼º,1,1,0,0,13.00,2.00,0.00,6.50,0.258,0.306,0.258,0.564,1.11,0.400,81.8,0.00,0.68,1.78,1.09,0.58
73,2015,04,08,SK,1,1,0,0,11.00,2.00,0.00,5.50,0.156,0.206,0.188,0.393,0.78,0.238,85.7,1.00,0.70,1.89,1.35,0.49
74,2015,04,08,LG,1,1,0,0,7.00,4.00,0.00,1.75,0.241,0.333,0.345,0.678,1.22,0.318,81.8,2.00,0.54,3.45,3.45,0.25
75,2015,04,08,µÎ»ê,1,0,0,0,9.00,6.00,0.00,1.50,0.250,0.385,0.344,0.728,1.56,0.348,73.3,4.00,0.18,4.00,3.96,0.19
76,2015,04,08,NC,1,0,0,0,7.00,6.00,1.00,1.17,0.156,0.341,0.250,0.591,1.22,0.167,71.4,5.00,0.24,6.56,6.86,-0.03
77,2015,04,08,KT,1,0,0,0,3.38,5.62,1.12,0.60,0.286,0.382,0.429,0.811,1.62,0.280,94.8,1.12,0.44,6.42,6.91,-0.07
78,2015,04,08,ÇÑÈ­,1,1,0,0,10.00,2.00,1.00,5.00,0.250,0.294,0.406,0.700,1.11,0.333,81.4,3.00,0.32,3.56,3.14,0.26
