,¿¬µµ,¼øÀ§,ÆÀ¸í,°æ±â,½Â,ÆÐ,¹«,½Â·ü,È¨,¾î¿þÀÌ
83,2011,4,KIA,133,70,63,0,0.526,36-0-30,34-0-33
84,2011,5,µÎ»ê,133,61,70,2,0.466,30-0-37,31-2-33
85,2011,6,LG,133,59,72,2,0.450,29-1-36,30-1-36
86,2011,6,ÇÑÈ­,133,59,72,2,0.450,31-2-33,28-0-39
87,2011,8,³Ø¼¾,133,51,80,2,0.389,34-1-31,17-1-49
88,2012,1,»ï¼º,133,80,51,2,0.611,39-1-26,41-1-25
89,2012,2,SK,133,71,59,3,0.546,38-2-26,33-1-33
90,2012,3,µÎ»ê,133,68,62,3,0.523,32-0-34,36-3-28
91,2012,4,·Ôµ¥,133,65,62,6,0.512,35-4-27,30-2-35
92,2012,5,KIA,133,62,65,6,0.488,32-5-30,30-1-35
93,2012,6,³Ø¼¾,133,61,69,3,0.469,34-1-32,27-2-37
94,2012,7,LG,133,57,72,4,0.442,25-1-41,32-3-31
95,2012,8,ÇÑÈ­,133,53,77,3,0.408,27-1-39,26-2-38
96,2013,1,»ï¼º,128,75,51,2,0.595,37-0-27,38-2-24
97,2013,2,µÎ»ê,128,71,54,3,0.568,37-1-26,34-2-28
98,2013,3,LG,128,74,54,0,0.578,37-0-27,37-0-27
99,2013,4,³Ø¼¾,128,72,54,2,0.571,36-2-26,36-0-28
100,2013,5,·Ôµ¥,128,66,58,4,0.532,33-3-28,33-1-30
101,2013,6,SK,128,62,63,3,0.496,31-2-31,31-1-32
102,2013,7,NC,128,52,72,4,0.419,28-2-34,24-2-38
103,2013,8,KIA,128,51,74,3,0.408,22-1-41,29-2-33
104,2013,9,ÇÑÈ­,128,42,85,1,0.331,21-0-43,21-1-42
105,2014,1,»ï¼º,128,78,47,3,0.624,40-2-22,38-1-25
106,2014,2,³Ø¼¾,128,78,48,2,0.619,42-1-21,36-1-27
107,2014,3,NC,128,70,57,1,0.551,38-0-26,32-1-31
108,2014,4,LG,128,62,64,2,0.492,33-1-30,29-1-34
109,2014,5,SK,128,61,65,2,0.484,31-2-31,30-0-34
110,2014,6,µÎ»ê,128,59,68,1,0.465,29-0-35,30-1-33
111,2014,7,·Ôµ¥,128,58,69,1,0.457,32-1-31,26-0-38
112,2014,8,KIA,128,54,74,0,0.422,26-0-38,28-0-36
113,2014,9,ÇÑÈ­,128,49,77,2,0.389,28-0-36,21-2-41
114,2015,1,µÎ»ê,144,79,65,0,0.549,41-0-31,38-0-34
115,2015,2,»ï¼º,144,88,56,0,0.611,46-0-26,42-0-30
116,2015,3,NC,144,84,57,3,0.596,40-2-30,44-1-27
117,2015,4,³Ø¼¾,144,78,65,1,0.545,40-0-32,38-1-33
118,2015,5,SK,144,69,73,2,0.486,37-1-34,32-1-39
119,2015,6,ÇÑÈ­,144,68,76,0,0.472,38-0-34,30-0-42
120,2015,7,KIA,144,67,77,0,0.465,36-0-36,31-0-41
121,2015,8,·Ôµ¥,144,66,77,1,0.462,37-0-35,29-1-42
122,2015,9,LG,144,64,78,2,0.451,33-2-37,31-0-41
123,2015,10,KT,144,52,91,1,0.364,30-0-42,22-1-49
124,2016,1,µÎ»ê,144,93,50,1,0.650,46-1-25,47-0-25
125,2016,2,NC,144,83,58,3,0.589,39-2-31,44-1-27
126,2016,3,³Ø¼¾,144,77,66,1,0.538,44-0-28,33-1-38
127,2016,4,LG,144,71,71,2,0.500,40-2-30,31-0-41
128,2016,5,KIA,144,70,73,1,0.490,38-0-34,32-1-39
129,2016,6,SK,144,69,75,0,0.479,35-0-37,34-0-38
130,2016,7,ÇÑÈ­,144,66,75,3,0.468,36-2-34,30-1-41
131,2016,8,·Ôµ¥,144,66,78,0,0.458,40-0-32,26-0-46
132,2016,9,»ï¼º,144,65,78,1,0.455,34-0-38,31-1-40
133,2016,10,KT,144,53,89,2,0.373,28-0-44,25-2-45
134,2017,1,KIA,144,87,56,1,0.608,45-0-27,42-1-29
135,2017,2,µÎ»ê,144,84,57,3,0.596,39-3-30,45-0-27
136,2017,3,·Ôµ¥,144,80,62,2,0.563,45-2-25,35-0-37
137,2017,4,NC,144,79,62,3,0.560,44-1-27,35-2-35
138,2017,5,SK,144,75,68,1,0.524,42-0-30,33-1-38
139,2017,6,LG,144,69,72,3,0.489,38-0-34,31-3-38
140,2017,7,³Ø¼¾,144,69,73,2,0.486,39-2-31,30-0-42
141,2017,8,ÇÑÈ­,144,61,81,2,0.430,30-1-41,31-1-40
142,2017,9,»ï¼º,144,55,84,5,0.396,28-2-42,27-3-42
143,2017,10,KT,144,50,94,0,0.347,27-0-45,23-0-49
144,2018,1,SK,144,78,65,1,0.545,42-0-30,36-1-35
145,2018,2,µÎ»ê,144,93,51,0,0.646,51-0-21,42-0-30
146,2018,3,ÇÑÈ­,144,77,67,0,0.535,43-0-29,34-0-38
147,2018,4,³Ø¼¾,144,75,69,0,0.521,37-0-35,38-0-34
148,2018,5,KIA,144,70,74,0,0.486,43-0-29,27-0-45
149,2018,6,»ï¼º,144,68,72,4,0.486,33-3-36,35-1-36
150,2018,7,·Ôµ¥,144,68,74,2,0.479,34-0-38,34-2-36
151,2018,8,LG,144,68,75,1,0.476,39-1-32,29-0-43
152,2018,9,KT,144,59,82,3,0.418,31-2-39,28-1-43
153,2018,10,NC,144,58,85,1,0.406,33-0-39,25-1-46
154,2019,1,µÎ»ê,144,88,55,1,0.615,47-0-25,41-1-30
155,2019,2,Å°¿ò,144,86,57,1,0.601,45-1-26,41-0-31
156,2019,3,SK,144,88,55,1,0.615,44-1-27,44-0-28
157,2019,4,LG,144,79,64,1,0.552,41-1-30,38-0-34
158,2019,5,NC,144,73,69,2,0.514,40-2-30,33-0-39
159,2019,6,KT,144,71,71,2,0.500,41-1-30,30-1-41
160,2019,7,KIA,144,62,80,2,0.437,39-0-33,23-2-47
161,2019,8,»ï¼º,144,60,83,1,0.420,36-0-36,24-1-47
162,2019,9,ÇÑÈ­,144,58,86,0,0.403,31-0-41,27-0-45
163,2019,10,·Ôµ¥,144,48,93,3,0.340,29-1-42,19-2-51
