,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,½Â,ÆÐ,¼¼ÀÌºê,È¦µå,ºí·Ð,QS,ÀÌ´×,Å¸ÀÚ,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,½ÇÁ¡,ÀÚÃ¥,»ïÁø,º¼³Ý,°íÀÇ4±¸,»ç±¸,ÆøÅõ,º¸Å©,PK,µµ·ç,µµ½Ç
46,2015,04,04,KIA,1,1,0,0,0,0,1,9.0,38,9,3,0,0,2,2,3,3,0,0,0,0,0,3,0
47,2015,04,04,LG,1,1,0,1,1,0,1,9.0,33,1,0,0,1,2,2,11,6,0,1,0,0,0,1,2
48,2015,04,04,SK,1,1,0,0,0,0,0,9.0,36,7,4,0,0,4,3,9,3,0,0,0,0,0,2,0
49,2015,04,04,»ï¼º,1,0,1,0,0,0,1,8.0,33,9,1,0,0,3,3,5,2,0,0,0,0,0,1,1
50,2015,04,04,KT,1,0,1,0,0,0,0,9.0,46,14,1,0,2,10,8,10,4,0,0,2,0,0,4,2
51,2015,04,04,Hero,1,0,1,0,0,0,0,9.0,46,11,2,0,1,10,10,9,7,0,0,0,0,0,1,0
52,2015,04,05,NC,1,1,0,0,0,0,1,9.0,33,8,1,0,0,2,1,6,0,0,0,0,0,0,0,0
53,2015,04,05,KIA,1,1,0,1,3,0,0,9.0,32,6,2,0,0,1,1,5,2,0,0,0,0,0,0,0
54,2015,04,05,·Ôµ¥,1,1,0,0,0,0,0,9.0,36,8,0,0,1,4,3,7,1,0,0,0,0,0,2,1
55,2015,04,05,LG,1,1,0,0,0,0,0,9.0,36,4,0,0,0,5,5,8,7,0,0,0,0,0,2,1
56,2015,04,05,SK,1,1,0,0,0,0,0,9.0,43,13,4,0,3,7,7,9,3,0,1,0,0,0,0,0
57,2015,04,05,KT,1,0,1,0,0,0,1,9.0,42,8,2,0,0,4,2,5,9,0,0,1,0,1,0,0
58,2015,04,05,»ï¼º,1,0,1,0,1,1,1,8.2,39,12,2,0,0,6,5,7,2,0,1,1,0,0,1,2
59,2015,04,05,ÇÑÈ­,1,0,1,0,0,0,0,8.0,38,11,1,0,3,9,9,6,2,0,2,0,0,1,2,0
60,2015,04,05,Hero,1,0,1,0,0,0,0,9.0,49,13,3,0,2,13,12,9,8,0,1,2,0,0,5,0
61,2015,04,05,µÎ»ê,1,0,1,0,0,0,0,8.0,48,14,3,0,4,16,15,10,11,0,0,0,0,0,0,0
62,2015,04,07,»ï¼º,1,1,0,1,2,0,1,9.0,32,4,1,0,1,1,1,10,3,0,0,0,0,0,0,1
63,2015,04,07,SK,1,1,0,1,3,0,0,9.0,41,10,2,0,1,2,2,12,4,0,0,0,0,0,2,0
64,2015,04,07,NC,1,1,0,1,1,0,1,9.0,35,6,1,0,1,3,2,9,1,0,1,1,0,0,0,1
65,2015,04,07,ÇÑÈ­,1,1,0,0,0,0,0,11.0,49,10,0,0,1,3,3,15,8,0,0,2,0,0,1,0
66,2015,04,07,Hero,1,1,0,0,0,0,1,9.0,35,10,3,0,0,4,4,9,1,0,0,0,0,0,1,1
67,2015,04,07,·Ôµ¥,1,0,1,0,0,0,0,8.0,37,8,1,0,1,3,3,9,5,0,0,0,0,0,2,0
68,2015,04,07,KT,1,0,1,0,0,0,0,8.0,38,9,1,0,0,3,3,5,7,1,0,0,0,0,0,2
69,2015,04,07,LG,1,0,1,0,0,1,0,10.1,51,14,1,0,0,4,4,6,8,2,1,1,0,0,1,1
70,2015,04,07,KIA,1,0,1,0,0,0,0,9.0,41,8,3,1,1,5,5,8,4,1,2,1,0,0,3,0
71,2015,04,07,µÎ»ê,1,0,1,0,0,0,0,9.0,54,27,5,1,4,17,16,10,2,0,0,0,0,0,0,0
72,2015,04,08,»ï¼º,1,1,0,1,2,0,1,9.0,37,8,0,0,0,2,0,13,2,0,1,0,0,0,2,0
73,2015,04,08,SK,1,1,0,1,0,0,1,9.0,34,5,1,0,0,1,1,11,2,0,0,0,0,0,1,0
74,2015,04,08,LG,1,1,0,1,1,0,1,9.0,36,7,1,1,0,2,2,7,4,0,0,0,0,0,1,1
75,2015,04,08,µÎ»ê,1,1,0,0,1,0,0,9.0,40,8,3,0,0,4,4,9,6,0,1,1,1,0,1,2
76,2015,04,08,NC,1,1,0,0,0,0,0,9.0,41,5,0,0,1,5,5,7,6,0,3,3,0,0,1,0
77,2015,04,08,KT,1,0,1,0,0,0,0,8.0,34,8,1,0,1,2,1,3,5,0,0,0,0,0,0,1
78,2015,04,08,ÇÑÈ­,1,0,1,0,0,1,1,9.0,36,8,2,0,1,3,3,10,2,0,0,1,0,0,1,1
79,2015,04,08,·Ôµ¥,1,0,1,0,0,0,0,8.0,31,5,0,0,1,4,4,8,2,0,0,0,0,0,1,0
80,2015,04,08,Hero,1,0,1,0,0,0,0,8.0,38,11,3,0,1,9,9,7,4,0,0,1,0,1,2,0
81,2015,04,08,KIA,1,0,1,0,0,0,0,9.0,51,14,3,0,3,13,13,5,7,0,4,1,0,0,0,1
82,2015,04,09,µÎ»ê,1,1,0,0,0,0,1,9.0,30,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0
83,2015,04,09,NC,1,1,0,1,2,0,0,9.0,36,7,0,0,2,2,2,5,2,0,0,0,0,0,1,0
84,2015,04,09,SK,1,1,0,0,1,0,0,9.0,35,7,1,0,1,2,2,8,0,0,1,1,0,0,0,0
85,2015,04,09,ÇÑÈ­,1,1,0,0,1,1,0,9.0,39,5,0,0,0,4,4,5,8,1,1,1,0,0,1,0
86,2015,04,09,»ï¼º,1,1,0,0,0,0,1,9.0,38,9,2,0,1,4,4,4,1,0,2,0,0,0,1,0
87,2015,04,09,Hero,1,0,1,0,0,0,1,8.0,31,5,0,0,0,1,1,6,3,0,0,0,0,0,3,0
88,2015,04,09,KIA,1,0,1,0,0,0,0,9.0,42,13,3,1,1,4,4,11,3,1,0,0,0,1,4,0
89,2015,04,09,LG,1,0,1,0,0,0,0,8.2,37,7,3,0,1,5,4,9,3,0,1,1,0,0,0,0
90,2015,04,09,·Ôµ¥,1,0,1,0,0,1,0,8.0,42,11,0,0,3,5,5,5,6,0,1,0,0,0,2,0
91,2015,04,09,KT,1,0,1,0,0,0,0,8.0,47,16,3,0,3,13,13,10,8,0,0,1,0,0,0,0
92,2015,04,10,Hero,1,1,0,0,0,0,1,9.0,33,5,0,0,0,0,0,16,0,0,1,0,0,0,0,0
93,2015,04,10,LG,1,1,0,1,0,0,1,9.0,35,5,1,0,0,2,2,5,5,0,0,2,0,0,2,0
94,2015,04,10,SK,1,1,0,1,0,0,1,9.0,31,2,1,0,0,2,2,9,2,1,1,0,0,0,0,0
95,2015,04,10,»ï¼º,1,1,0,0,0,0,1,11.0,47,10,3,0,1,3,3,13,5,1,1,0,0,0,0,0
96,2015,04,10,·Ôµ¥,1,1,0,0,0,1,0,11.0,50,14,3,0,1,9,7,12,3,0,0,1,0,0,0,0
97,2015,04,10,NC,1,0,1,0,0,0,1,9.0,38,6,0,0,0,3,3,5,5,0,2,0,0,0,0,0
98,2015,04,10,KIA,1,0,1,0,0,0,0,10.2,52,12,2,1,3,4,4,10,8,1,1,1,0,0,1,2
99,2015,04,10,µÎ»ê,1,0,1,0,3,1,0,8.0,37,9,2,0,1,5,5,9,6,0,0,0,0,0,0,1
100,2015,04,10,KT,1,0,1,0,0,0,1,8.0,34,6,1,0,1,6,5,8,5,0,0,1,0,0,0,1
101,2015,04,10,ÇÑÈ­,1,0,1,0,0,1,0,10.2,50,10,3,0,2,10,10,20,6,0,2,3,0,0,2,0
102,2015,04,11,ÇÑÈ­,1,1,0,1,1,0,1,9.0,35,3,1,0,0,1,0,8,6,0,0,0,0,0,1,1
103,2015,04,11,»ï¼º,1,1,0,1,1,0,1,9.0,33,6,1,0,0,2,2,11,1,0,0,0,0,1,0,0
104,2015,04,11,NC,1,1,0,1,1,0,1,9.0,34,6,2,0,0,2,2,7,2,0,0,0,0,0,0,0
105,2015,04,11,KT,1,1,0,0,0,0,1,9.0,38,9,0,0,0,4,4,12,3,0,0,0,0,1,0,0
106,2015,04,11,µÎ»ê,1,1,0,0,0,0,1,9.0,38,10,1,0,2,6,5,5,2,0,2,0,0,1,1,0
107,2015,04,11,SK,1,0,1,0,0,0,0,8.0,36,5,0,0,0,4,2,3,6,1,1,1,0,0,1,0
108,2015,04,11,·Ôµ¥,1,0,1,0,0,0,1,9.0,38,8,1,0,2,4,4,6,3,0,0,0,0,1,2,0
109,2015,04,11,KIA,1,0,1,0,0,0,0,8.0,37,10,2,0,2,5,5,7,5,0,0,1,0,1,2,0
110,2015,04,11,Hero,1,0,1,0,0,0,0,9.0,44,10,1,1,0,6,6,6,5,0,1,2,0,0,1,0
111,2015,04,11,LG,1,0,1,0,0,0,0,9.0,46,12,2,1,1,9,6,4,4,0,1,0,0,0,2,0
112,2015,04,12,LG,1,1,0,0,0,0,0,9.0,37,9,3,0,0,2,2,4,5,0,0,0,0,0,0,2
113,2015,04,12,·Ôµ¥,1,1,0,0,0,0,1,9.0,35,5,0,0,3,3,3,11,3,0,0,1,0,0,0,0
114,2015,04,12,KT,1,1,0,1,1,0,0,9.0,37,7,0,0,1,3,3,5,6,0,1,0,0,0,0,0
115,2015,04,12,KIA,1,1,0,0,1,0,0,9.0,38,9,2,1,2,7,7,8,2,1,0,1,0,0,0,0
116,2015,04,12,SK,1,1,0,1,0,0,0,9.0,39,9,2,0,2,8,8,10,3,0,0,1,0,0,0,0
117,2015,04,12,µÎ»ê,1,0,1,0,1,1,1,8.0,32,6,1,0,1,3,3,5,4,0,0,0,0,0,0,0
118,2015,04,12,Hero,1,0,1,0,0,0,0,9.0,38,6,1,0,1,5,5,9,4,0,1,0,0,0,1,0
119,2015,04,12,»ï¼º,1,0,1,0,0,0,0,9.0,40,10,1,0,4,9,8,4,2,0,0,0,0,0,1,0
120,2015,04,12,NC,1,0,1,0,0,0,0,9.0,44,11,5,0,2,11,10,6,3,0,2,1,0,0,0,0
121,2015,04,12,ÇÑÈ­,1,0,1,0,0,0,0,8.0,51,14,2,0,2,15,10,5,9,0,4,0,0,0,2,0
122,2015,04,14,µÎ»ê,1,1,0,0,1,0,0,9.0,38,4,1,0,0,2,2,4,8,0,1,2,0,0,2,0
123,2015,04,14,ÇÑÈ­,1,1,0,1,2,0,1,9.0,40,11,1,0,1,3,3,5,3,1,0,1,0,0,0,0
124,2015,04,14,·Ôµ¥,1,1,0,1,3,0,1,9.0,41,9,3,0,0,4,4,13,4,0,1,1,0,0,2,0
125,2015,04,14,NC,1,0,1,0,0,0,0,8.0,35,7,0,0,2,5,5,8,6,0,1,1,0,0,2,1
126,2015,04,14,»ï¼º,1,0,1,0,0,0,0,8.0,36,12,2,2,2,5,5,7,1,0,1,0,0,0,0,2
127,2015,04,14,KT,1,0,1,0,0,0,0,9.0,53,22,7,0,5,18,18,6,6,0,1,2,0,0,0,1
128,2015,04,15,·Ôµ¥,1,1,0,0,0,0,0,9.0,34,3,1,0,0,0,0,8,4,0,0,0,0,0,3,0
129,2015,04,15,»ï¼º,1,1,0,0,1,0,1,9.0,38,9,2,0,0,3,3,7,1,0,1,1,0,0,0,0
130,2015,04,15,KIA,1,1,0,0,2,0,1,9.0,37,8,2,1,0,4,4,5,5,0,0,0,0,0,0,1
131,2015,04,15,Hero,1,1,0,1,1,0,0,9.0,37,9,1,0,2,4,4,11,2,0,0,0,0,0,1,0
132,2015,04,15,µÎ»ê,1,1,0,1,0,0,0,12.0,57,9,3,0,2,6,6,13,11,1,1,1,0,0,2,0
133,2015,04,15,SK,1,0,1,0,0,1,1,9.0,40,8,2,0,1,6,5,9,3,1,1,1,0,0,1,0
134,2015,04,15,KT,1,0,1,0,0,1,0,12.0,58,12,2,0,0,7,7,8,10,1,2,1,0,0,0,0
135,2015,04,15,NC,1,0,1,0,0,0,0,8.0,37,8,2,0,1,6,6,9,6,0,0,0,0,0,0,0
136,2015,04,15,ÇÑÈ­,1,0,1,0,0,0,0,9.0,43,14,2,0,2,8,8,9,3,1,0,0,0,0,3,0
137,2015,04,15,LG,1,0,1,0,0,0,0,9.0,44,16,4,0,0,9,8,6,2,0,1,0,0,0,0,1
138,2015,04,16,SK,1,1,0,0,0,0,0,9.0,30,1,0,0,0,0,0,7,1,0,1,0,0,0,0,0
139,2015,04,16,NC,1,1,0,0,1,0,1,9.0,36,6,0,0,2,3,2,7,5,0,0,0,0,0,3,0
140,2015,04,16,LG,1,1,0,0,0,0,0,9.0,44,14,2,0,0,5,4,9,6,0,0,3,0,1,0,0
141,2015,04,16,·Ôµ¥,1,0,1,0,0,0,1,9.0,41,15,3,0,0,8,7,9,1,1,0,1,0,0,0,0
142,2015,04,16,KIA,1,0,1,0,0,0,0,8.0,45,6,0,0,2,10,7,10,13,0,1,1,0,0,3,0
143,2015,04,16,Hero,1,0,1,0,0,0,0,8.0,43,10,1,0,1,10,10,8,8,0,2,2,0,0,1,0
144,2015,04,17,Hero,1,1,0,1,0,0,0,9.0,39,6,0,0,0,3,1,8,6,0,0,0,0,0,0,0
145,2015,04,17,µÎ»ê,1,1,0,0,0,0,1,9.0,33,4,1,0,1,1,1,7,4,0,0,0,0,0,0,0
146,2015,04,17,LG,1,1,0,0,0,0,1,9.0,35,8,0,0,0,1,1,8,2,0,2,1,0,0,0,1
147,2015,04,17,»ï¼º,1,1,0,0,0,0,1,9.0,37,7,2,0,0,1,1,9,2,0,1,2,0,0,2,0
148,2015,04,17,ÇÑÈ­,1,1,0,1,0,0,0,9.0,40,7,1,0,2,6,5,7,2,0,4,0,0,0,0,0
149,2015,04,17,KIA,1,0,1,0,0,1,1,9.0,39,8,4,0,0,4,4,7,5,0,2,0,0,0,1,1
150,2015,04,17,SK,1,0,1,0,0,0,0,9.0,38,9,1,0,4,6,4,8,1,0,2,0,0,0,0,0
151,2015,04,17,KT,1,0,1,0,0,0,0,8.0,38,8,1,0,1,6,6,6,6,0,1,1,0,0,4,2
152,2015,04,17,NC,1,0,1,0,0,0,0,8.0,41,14,3,1,1,10,9,5,3,0,0,1,0,0,0,0
153,2015,04,17,·Ôµ¥,1,0,1,0,0,0,0,8.0,44,15,3,0,1,12,12,6,4,0,1,2,0,0,0,0
154,2015,04,18,Hero,1,1,0,0,2,0,0,9.0,35,7,1,1,0,1,1,10,2,0,0,1,0,0,0,0
155,2015,04,18,»ï¼º,1,1,0,1,1,0,1,9.0,33,4,1,0,0,1,1,9,4,0,0,0,0,0,2,0
156,2015,04,18,µÎ»ê,1,1,0,0,0,0,0,9.0,41,13,1,1,0,5,4,11,2,0,1,1,0,0,1,1
157,2015,04,18,SK,1,1,0,0,1,0,0,9.0,36,6,2,0,1,4,4,8,3,0,0,1,0,0,0,0
158,2015,04,18,ÇÑÈ­,1,1,0,1,1,0,0,9.0,38,12,1,0,1,6,6,5,1,0,0,2,1,1,1,0
159,2015,04,18,KT,1,0,1,0,0,0,0,8.0,38,8,3,0,1,3,3,3,6,1,1,1,0,0,1,0
160,2015,04,18,KIA,1,0,1,0,0,0,0,9.0,40,10,4,0,1,5,4,9,3,0,1,1,0,0,0,1
161,2015,04,18,·Ôµ¥,1,0,1,0,0,1,1,8.2,34,8,2,0,1,7,7,6,1,0,1,0,0,0,0,2
162,2015,04,18,NC,1,0,1,0,0,1,0,8.0,42,8,3,0,1,8,8,3,5,1,4,1,0,0,1,0
163,2015,04,18,LG,1,0,1,0,0,0,0,8.0,38,14,4,0,2,8,8,6,1,0,1,1,0,0,1,0
164,2015,04,19,Hero,1,1,0,0,0,0,1,9.0,37,8,1,0,1,4,3,10,2,0,0,1,0,0,1,0
165,2015,04,19,KIA,1,0,1,0,0,0,0,9.0,50,22,10,1,3,15,15,9,1,0,0,0,0,0,0,0
166,2015,04,21,LG,1,1,0,0,0,0,1,9.0,33,4,0,0,0,0,0,9,1,0,1,0,0,0,1,1
167,2015,04,21,»ï¼º,1,1,0,0,0,0,1,9.0,30,2,0,1,0,0,0,9,0,0,0,0,0,0,0,0
168,2015,04,21,Hero,1,1,0,0,0,0,1,9.0,35,6,2,0,0,0,0,9,2,0,0,0,0,0,0,0
169,2015,04,21,KIA,1,1,0,1,0,0,1,9.0,38,6,1,0,0,2,2,8,6,0,0,0,0,0,1,0
170,2015,04,21,SK,1,1,0,0,0,0,0,9.0,40,9,2,0,0,3,3,10,5,0,0,0,0,0,1,1
171,2015,04,21,·Ôµ¥,1,0,1,0,0,0,1,8.0,31,7,2,0,0,3,3,7,1,0,0,2,0,0,0,1
172,2015,04,21,NC,1,0,1,0,0,0,0,9.0,40,10,1,0,1,5,5,3,5,0,1,0,0,0,0,0
173,2015,04,21,KT,1,0,1,0,0,0,0,9.0,45,10,2,0,0,9,8,8,7,0,1,3,0,0,1,0
174,2015,04,21,ÇÑÈ­,1,0,1,0,0,0,0,8.0,42,11,1,0,0,10,9,3,7,1,0,2,0,0,3,0
175,2015,04,21,µÎ»ê,1,0,1,0,0,0,0,8.0,46,14,0,0,3,12,11,15,3,0,1,0,0,0,0,0
176,2015,04,22,KT,1,1,0,0,0,0,0,9.0,38,8,0,0,0,0,0,10,4,0,0,1,0,0,1,0
177,2015,04,22,ÇÑÈ­,1,1,0,1,1,0,0,9.0,38,9,2,0,1,2,2,8,4,0,0,1,0,0,1,0
178,2015,04,22,»ï¼º,1,1,0,0,1,0,1,9.0,35,6,0,0,1,2,2,11,3,0,0,0,0,0,4,0
179,2015,04,22,·Ôµ¥,1,1,0,1,0,0,1,9.0,44,13,3,0,0,6,6,6,4,0,1,2,0,0,0,0
180,2015,04,22,µÎ»ê,1,1,0,0,2,0,0,9.0,43,13,2,0,3,9,8,9,2,0,1,0,0,0,0,0
181,2015,04,22,SK,1,0,1,0,0,0,0,8.0,34,7,3,0,1,2,2,11,5,0,1,1,0,0,1,1
182,2015,04,22,LG,1,0,1,0,0,0,0,9.0,37,5,0,0,1,5,5,8,5,0,0,2,0,0,3,1
183,2015,04,22,NC,1,0,1,0,0,0,0,9.0,41,9,2,1,2,6,6,8,6,0,0,0,0,0,0,1
184,2015,04,22,KIA,1,0,1,0,0,0,0,9.0,37,7,2,0,2,7,7,6,3,0,1,1,0,0,1,0
185,2015,04,22,Hero,1,0,1,0,0,0,0,9.0,43,15,3,1,5,12,12,7,3,0,1,2,0,0,1,2
186,2015,04,23,LG,1,1,0,1,3,0,0,9.0,38,6,1,0,1,2,2,8,4,0,1,0,0,0,1,0
187,2015,04,23,SK,1,1,0,1,2,0,1,9.0,34,7,1,0,1,2,2,8,1,0,0,0,0,0,1,1
188,2015,04,23,»ï¼º,1,1,0,0,0,0,0,9.0,39,9,3,0,0,4,4,5,4,0,0,0,0,0,0,1
189,2015,04,23,µÎ»ê,1,1,0,1,1,0,0,9.0,40,9,3,0,0,5,5,10,6,0,0,1,0,1,0,1
190,2015,04,23,KIA,1,1,0,0,0,0,0,9.0,40,10,1,0,2,6,6,1,3,0,2,1,0,0,2,0
191,2015,04,23,KT,1,0,1,0,0,0,1,9.0,40,7,1,0,0,3,0,7,6,1,0,0,0,0,1,0
192,2015,04,23,ÇÑÈ­,1,0,1,0,0,0,0,8.0,41,12,2,0,0,5,4,4,5,0,0,4,0,0,2,1
193,2015,04,23,Hero,1,0,1,0,2,1,0,9.0,41,9,1,0,2,7,7,5,6,0,1,1,0,0,1,0
194,2015,04,23,·Ôµ¥,1,0,1,0,2,0,0,8.2,45,14,2,0,1,7,7,11,6,2,1,1,1,0,0,0
195,2015,04,23,NC,1,0,1,0,0,0,0,9.0,46,15,6,0,1,14,14,7,4,0,0,0,0,0,2,0
196,2015,04,24,ÇÑÈ­,1,1,0,1,1,0,0,9.0,39,6,1,0,0,0,0,11,7,0,1,1,0,0,0,0
197,2015,04,24,Hero,1,1,0,0,0,0,1,9.0,36,7,2,1,0,2,1,11,1,0,1,1,0,1,1,0
198,2015,04,24,µÎ»ê,1,1,0,0,0,0,1,9.0,39,6,2,0,0,3,1,9,4,0,1,0,0,0,0,0
199,2015,04,24,NC,1,1,0,0,0,0,1,9.0,35,7,1,0,1,3,2,6,0,0,0,0,0,0,0,0
200,2015,04,24,·Ôµ¥,1,1,0,0,0,0,1,9.0,31,6,2,0,1,3,3,9,1,0,0,1,0,0,1,1
201,2015,04,24,SK,1,0,1,0,0,0,0,8.0,29,7,2,0,1,2,2,4,2,0,0,0,0,1,0,2
202,2015,04,24,»ï¼º,1,0,1,0,0,0,0,8.0,33,8,2,0,2,5,5,10,2,0,0,0,0,0,0,1
203,2015,04,24,KT,1,0,1,0,0,0,0,9.0,46,12,2,0,3,9,7,8,6,0,1,2,0,0,1,0
204,2015,04,24,KIA,1,0,1,0,0,0,0,8.0,40,12,2,1,0,7,7,7,2,0,2,0,0,0,0,1
205,2015,04,24,LG,1,0,1,0,0,0,0,8.0,41,13,3,1,3,11,8,5,0,0,2,0,0,0,1,0
206,2015,04,25,Hero,1,1,0,1,2,0,1,9.0,32,4,1,0,0,0,0,7,3,0,0,1,0,0,0,2
