,¿¬µµ,¿ù,ÆÀ¸í,R/G,Ãâ·çÀ²,ÀåÅ¸À²,OPS,º¼/»ï,ISO,RC/27,µµ½Ç
61,2015,9,NC,6.96,0.39799999999999996,0.496,0.894,0.68,0.191,7.37,0.395
62,2015,9,SK,5.96,0.359,0.484,0.843,0.39,0.18899999999999997,6.02,0.371
63,2015,9,Hero,5.52,0.37200000000000005,0.428,0.8,0.61,0.14,5.98,0.36
64,2015,9,LG,5.33,0.37,0.445,0.815,0.47,0.138,6.17,0.365
65,2015,9,·Ôµ¥,5.35,0.35200000000000004,0.44799999999999995,0.8,0.46,0.16,5.5,0.355
66,2015,9,µÎ»ê,5.8,0.377,0.451,0.828,0.68,0.154,6.01,0.371
67,2015,9,ÇÑÈ­,5.74,0.36700000000000005,0.445,0.812,0.51,0.159,5.66,0.36200000000000004
68,2015,9,KIA,4.44,0.322,0.41100000000000003,0.733,0.41,0.162,4.29,0.326
69,2015,9,KT,3.91,0.33899999999999997,0.36200000000000004,0.701,0.45,0.096,4.21,0.319
70,2015,10,»ï¼º,4.0,0.41600000000000004,0.363,0.779,0.9,0.069,5.57,0.365
71,2015,10,µÎ»ê,5.25,0.39799999999999996,0.42200000000000004,0.82,1.27,0.156,6.39,0.371
72,2015,10,NC,5.25,0.32899999999999996,0.424,0.753,0.32,0.139,4.75,0.335
73,2015,10,Hero,4.67,0.273,0.391,0.664,0.26,0.174,3.56,0.289
74,2015,10,LG,3.5,0.345,0.39399999999999996,0.7390000000000001,0.33,0.08,4.61,0.33299999999999996
75,2015,10,KT,3.25,0.313,0.369,0.682,0.34,0.114,4.16,0.309
76,2015,10,ÇÑÈ­,3.33,0.336,0.301,0.637,0.33,0.049,3.79,0.303
77,2015,10,SK,2.33,0.33899999999999997,0.34700000000000003,0.6859999999999999,0.48,0.102,4.01,0.32
78,2015,10,·Ôµ¥,4.67,0.29600000000000004,0.41,0.706,0.33,0.17,3.98,0.309
79,2015,10,KIA,3.0,0.29600000000000004,0.307,0.603,0.35,0.09,3.17,0.278
80,2016,4,µÎ»ê,5.71,0.379,0.426,0.805,0.71,0.141,5.78,0.365
81,2016,4,SK,4.52,0.33799999999999997,0.397,0.735,0.46,0.13,4.67,0.33
82,2016,4,NC,4.7,0.34700000000000003,0.402,0.7490000000000001,0.5,0.134,4.84,0.33799999999999997
83,2016,4,LG,5.0,0.342,0.395,0.737,0.49,0.13699999999999998,4.85,0.332
84,2016,4,·Ôµ¥,5.16,0.363,0.436,0.799,0.49,0.14300000000000002,5.68,0.35700000000000004
85,2016,4,KT,4.76,0.341,0.39299999999999996,0.7340000000000001,0.57,0.129,4.54,0.332
86,2016,4,Hero,4.79,0.35600000000000004,0.39899999999999997,0.755,0.48,0.125,5.0,0.34299999999999997
87,2016,4,»ï¼º,5.04,0.353,0.39299999999999996,0.746,0.66,0.12,4.74,0.34
88,2016,4,KIA,4.86,0.34700000000000003,0.428,0.775,0.44,0.155,5.27,0.34700000000000003
89,2016,4,ÇÑÈ­,3.83,0.337,0.366,0.703,0.42,0.10300000000000001,4.23,0.321
90,2016,5,µÎ»ê,7.56,0.401,0.5379999999999999,0.9390000000000001,0.7,0.20800000000000002,8.01,0.41100000000000003
