,¿¬µµ,ÆÀ¸í,Æò±ÕÀÚÃ¥Á¡,°æ±â,½Â¸®,ÆÐ¹è,¼¼ÀÌºê,È¦µå,½Â·ü,ÀÌ´×,ÇÇ¾ÈÅ¸,È¨·±,º¼³Ý,»ç±¸,»ïÁø,½ÇÁ¡,ÀÚÃ¥Á¡,ÀÌ´×´çÃâ·çÇã¿ë·ü
110,2012,KIA,4.3,59.0,32.0,27.0,12.0,27.0,0.542,516 2/3,525.0,47.0,179.0,19.0,453.0,274.0,247.0,1.36
111,2012,»ï¼º,4.46,62.0,32.0,30.0,12.0,37.0,0.516,545,550.0,67.0,230.0,31.0,385.0,301.0,270.0,1.43
112,2012,NC,4.58,60.0,40.0,19.0,15.0,32.0,0.678,542,518.0,64.0,221.0,32.0,435.0,289.0,276.0,1.36
113,2012,·Ôµ¥,4.62,59.0,29.0,30.0,9.0,27.0,0.492,531 1/3,543.0,67.0,186.0,20.0,402.0,300.0,273.0,1.37
114,2012,Å°¿ò,4.72,63.0,37.0,26.0,16.0,26.0,0.587,557,612.0,64.0,166.0,32.0,400.0,319.0,292.0,1.4
115,2012,LG,4.78,61.0,31.0,29.0,12.0,25.0,0.517,548 1/3,606.0,60.0,195.0,34.0,426.0,325.0,291.0,1.46
116,2012,SK,4.82,62.0,19.0,43.0,8.0,28.0,0.306,543 1/3,570.0,54.0,257.0,33.0,427.0,325.0,291.0,1.52
117,2012,µÎ»ê,5.11,61.0,36.0,25.0,15.0,21.0,0.59,544 2/3,629.0,47.0,198.0,25.0,406.0,344.0,309.0,1.52
118,2012,KT,5.34,61.0,31.0,30.0,11.0,23.0,0.508,541 1/3,597.0,62.0,209.0,30.0,350.0,340.0,321.0,1.49
119,2012,ÇÑÈ­,5.5,62.0,17.0,45.0,7.0,21.0,0.274,540 1/3,644.0,73.0,248.0,35.0,468.0,369.0,330.0,1.65
120,2013,KIA,4.3,59.0,32.0,27.0,12.0,27.0,0.542,516 2/3,525.0,47.0,179.0,19.0,453.0,274.0,247.0,1.36
121,2013,»ï¼º,4.46,62.0,32.0,30.0,12.0,37.0,0.516,545,550.0,67.0,230.0,31.0,385.0,301.0,270.0,1.43
122,2013,NC,4.58,60.0,40.0,19.0,15.0,32.0,0.678,542,518.0,64.0,221.0,32.0,435.0,289.0,276.0,1.36
123,2013,·Ôµ¥,4.62,59.0,29.0,30.0,9.0,27.0,0.492,531 1/3,543.0,67.0,186.0,20.0,402.0,300.0,273.0,1.37
124,2013,Å°¿ò,4.72,63.0,37.0,26.0,16.0,26.0,0.587,557,612.0,64.0,166.0,32.0,400.0,319.0,292.0,1.4
125,2013,LG,4.78,61.0,31.0,29.0,12.0,25.0,0.517,548 1/3,606.0,60.0,195.0,34.0,426.0,325.0,291.0,1.46
126,2013,SK,4.82,62.0,19.0,43.0,8.0,28.0,0.306,543 1/3,570.0,54.0,257.0,33.0,427.0,325.0,291.0,1.52
127,2013,µÎ»ê,5.11,61.0,36.0,25.0,15.0,21.0,0.59,544 2/3,629.0,47.0,198.0,25.0,406.0,344.0,309.0,1.52
128,2013,KT,5.34,61.0,31.0,30.0,11.0,23.0,0.508,541 1/3,597.0,62.0,209.0,30.0,350.0,340.0,321.0,1.49
129,2013,ÇÑÈ­,5.5,62.0,17.0,45.0,7.0,21.0,0.274,540 1/3,644.0,73.0,248.0,35.0,468.0,369.0,330.0,1.65
130,2014,KIA,4.3,59.0,32.0,27.0,12.0,27.0,0.542,516 2/3,525.0,47.0,179.0,19.0,453.0,274.0,247.0,1.36
131,2014,»ï¼º,4.46,62.0,32.0,30.0,12.0,37.0,0.516,545,550.0,67.0,230.0,31.0,385.0,301.0,270.0,1.43
132,2014,NC,4.58,60.0,40.0,19.0,15.0,32.0,0.678,542,518.0,64.0,221.0,32.0,435.0,289.0,276.0,1.36
133,2014,·Ôµ¥,4.62,59.0,29.0,30.0,9.0,27.0,0.492,531 1/3,543.0,67.0,186.0,20.0,402.0,300.0,273.0,1.37
134,2014,Å°¿ò,4.72,63.0,37.0,26.0,16.0,26.0,0.587,557,612.0,64.0,166.0,32.0,400.0,319.0,292.0,1.4
135,2014,LG,4.78,61.0,31.0,29.0,12.0,25.0,0.517,548 1/3,606.0,60.0,195.0,34.0,426.0,325.0,291.0,1.46
136,2014,SK,4.82,62.0,19.0,43.0,8.0,28.0,0.306,543 1/3,570.0,54.0,257.0,33.0,427.0,325.0,291.0,1.52
137,2014,µÎ»ê,5.11,61.0,36.0,25.0,15.0,21.0,0.59,544 2/3,629.0,47.0,198.0,25.0,406.0,344.0,309.0,1.52
138,2014,KT,5.34,61.0,31.0,30.0,11.0,23.0,0.508,541 1/3,597.0,62.0,209.0,30.0,350.0,340.0,321.0,1.49
