,¿¬µµ,ÆÀ¸í,Æò±ÕÀÚÃ¥Á¡,°æ±â,½Â¸®,ÆÐ¹è,¼¼ÀÌºê,È¦µå,½Â·ü,ÀÌ´×,ÇÇ¾ÈÅ¸,È¨·±,º¼³Ý,»ç±¸,»ïÁø,½ÇÁ¡,ÀÚÃ¥Á¡,ÀÌ´×´çÃâ·çÇã¿ë·ü
39,2004,ÇÑÈ­,5.5,62.0,17.0,45.0,7.0,21.0,0.274,540 1/3,644.0,73.0,248.0,35.0,468.0,369.0,330.0,1.65
40,2005,KIA,4.3,59.0,32.0,27.0,12.0,27.0,0.542,516 2/3,525.0,47.0,179.0,19.0,453.0,274.0,247.0,1.36
41,2005,»ï¼º,4.46,62.0,32.0,30.0,12.0,37.0,0.516,545,550.0,67.0,230.0,31.0,385.0,301.0,270.0,1.43
42,2005,NC,4.58,60.0,40.0,19.0,15.0,32.0,0.678,542,518.0,64.0,221.0,32.0,435.0,289.0,276.0,1.36
43,2005,·Ôµ¥,4.62,59.0,29.0,30.0,9.0,27.0,0.492,531 1/3,543.0,67.0,186.0,20.0,402.0,300.0,273.0,1.37
44,2005,Å°¿ò,4.72,63.0,37.0,26.0,16.0,26.0,0.587,557,612.0,64.0,166.0,32.0,400.0,319.0,292.0,1.4
45,2005,LG,4.78,61.0,31.0,29.0,12.0,25.0,0.517,548 1/3,606.0,60.0,195.0,34.0,426.0,325.0,291.0,1.46
46,2005,SK,4.82,62.0,19.0,43.0,8.0,28.0,0.306,543 1/3,570.0,54.0,257.0,33.0,427.0,325.0,291.0,1.52
47,2005,µÎ»ê,5.11,61.0,36.0,25.0,15.0,21.0,0.59,544 2/3,629.0,47.0,198.0,25.0,406.0,344.0,309.0,1.52
48,2005,KT,5.34,61.0,31.0,30.0,11.0,23.0,0.508,541 1/3,597.0,62.0,209.0,30.0,350.0,340.0,321.0,1.49
49,2005,ÇÑÈ­,5.5,62.0,17.0,45.0,7.0,21.0,0.274,540 1/3,644.0,73.0,248.0,35.0,468.0,369.0,330.0,1.65
50,2006,KIA,4.3,59.0,32.0,27.0,12.0,27.0,0.542,516 2/3,525.0,47.0,179.0,19.0,453.0,274.0,247.0,1.36
51,2006,»ï¼º,4.46,62.0,32.0,30.0,12.0,37.0,0.516,545,550.0,67.0,230.0,31.0,385.0,301.0,270.0,1.43
52,2006,NC,4.58,60.0,40.0,19.0,15.0,32.0,0.678,542,518.0,64.0,221.0,32.0,435.0,289.0,276.0,1.36
53,2006,·Ôµ¥,4.62,59.0,29.0,30.0,9.0,27.0,0.492,531 1/3,543.0,67.0,186.0,20.0,402.0,300.0,273.0,1.37
54,2006,Å°¿ò,4.72,63.0,37.0,26.0,16.0,26.0,0.587,557,612.0,64.0,166.0,32.0,400.0,319.0,292.0,1.4
55,2006,LG,4.78,61.0,31.0,29.0,12.0,25.0,0.517,548 1/3,606.0,60.0,195.0,34.0,426.0,325.0,291.0,1.46
56,2006,SK,4.82,62.0,19.0,43.0,8.0,28.0,0.306,543 1/3,570.0,54.0,257.0,33.0,427.0,325.0,291.0,1.52
57,2006,µÎ»ê,5.11,61.0,36.0,25.0,15.0,21.0,0.59,544 2/3,629.0,47.0,198.0,25.0,406.0,344.0,309.0,1.52
58,2006,KT,5.34,61.0,31.0,30.0,11.0,23.0,0.508,541 1/3,597.0,62.0,209.0,30.0,350.0,340.0,321.0,1.49
59,2006,ÇÑÈ­,5.5,62.0,17.0,45.0,7.0,21.0,0.274,540 1/3,644.0,73.0,248.0,35.0,468.0,369.0,330.0,1.65
60,2007,KIA,4.3,59.0,32.0,27.0,12.0,27.0,0.542,516 2/3,525.0,47.0,179.0,19.0,453.0,274.0,247.0,1.36
61,2007,»ï¼º,4.46,62.0,32.0,30.0,12.0,37.0,0.516,545,550.0,67.0,230.0,31.0,385.0,301.0,270.0,1.43
62,2007,NC,4.58,60.0,40.0,19.0,15.0,32.0,0.678,542,518.0,64.0,221.0,32.0,435.0,289.0,276.0,1.36
63,2007,·Ôµ¥,4.62,59.0,29.0,30.0,9.0,27.0,0.492,531 1/3,543.0,67.0,186.0,20.0,402.0,300.0,273.0,1.37
64,2007,Å°¿ò,4.72,63.0,37.0,26.0,16.0,26.0,0.587,557,612.0,64.0,166.0,32.0,400.0,319.0,292.0,1.4
65,2007,LG,4.78,61.0,31.0,29.0,12.0,25.0,0.517,548 1/3,606.0,60.0,195.0,34.0,426.0,325.0,291.0,1.46
66,2007,SK,4.82,62.0,19.0,43.0,8.0,28.0,0.306,543 1/3,570.0,54.0,257.0,33.0,427.0,325.0,291.0,1.52
67,2007,µÎ»ê,5.11,61.0,36.0,25.0,15.0,21.0,0.59,544 2/3,629.0,47.0,198.0,25.0,406.0,344.0,309.0,1.52
68,2007,KT,5.34,61.0,31.0,30.0,11.0,23.0,0.508,541 1/3,597.0,62.0,209.0,30.0,350.0,340.0,321.0,1.49
69,2007,ÇÑÈ­,5.5,62.0,17.0,45.0,7.0,21.0,0.274,540 1/3,644.0,73.0,248.0,35.0,468.0,369.0,330.0,1.65
70,2008,KIA,4.3,59.0,32.0,27.0,12.0,27.0,0.542,516 2/3,525.0,47.0,179.0,19.0,453.0,274.0,247.0,1.36
71,2008,»ï¼º,4.46,62.0,32.0,30.0,12.0,37.0,0.516,545,550.0,67.0,230.0,31.0,385.0,301.0,270.0,1.43
72,2008,NC,4.58,60.0,40.0,19.0,15.0,32.0,0.678,542,518.0,64.0,221.0,32.0,435.0,289.0,276.0,1.36
73,2008,·Ôµ¥,4.62,59.0,29.0,30.0,9.0,27.0,0.492,531 1/3,543.0,67.0,186.0,20.0,402.0,300.0,273.0,1.37
74,2008,Å°¿ò,4.72,63.0,37.0,26.0,16.0,26.0,0.587,557,612.0,64.0,166.0,32.0,400.0,319.0,292.0,1.4
75,2008,LG,4.78,61.0,31.0,29.0,12.0,25.0,0.517,548 1/3,606.0,60.0,195.0,34.0,426.0,325.0,291.0,1.46
76,2008,SK,4.82,62.0,19.0,43.0,8.0,28.0,0.306,543 1/3,570.0,54.0,257.0,33.0,427.0,325.0,291.0,1.52
77,2008,µÎ»ê,5.11,61.0,36.0,25.0,15.0,21.0,0.59,544 2/3,629.0,47.0,198.0,25.0,406.0,344.0,309.0,1.52
78,2008,KT,5.34,61.0,31.0,30.0,11.0,23.0,0.508,541 1/3,597.0,62.0,209.0,30.0,350.0,340.0,321.0,1.49
79,2008,ÇÑÈ­,5.5,62.0,17.0,45.0,7.0,21.0,0.274,540 1/3,644.0,73.0,248.0,35.0,468.0,369.0,330.0,1.65
80,2009,KIA,4.3,59.0,32.0,27.0,12.0,27.0,0.542,516 2/3,525.0,47.0,179.0,19.0,453.0,274.0,247.0,1.36
81,2009,»ï¼º,4.46,62.0,32.0,30.0,12.0,37.0,0.516,545,550.0,67.0,230.0,31.0,385.0,301.0,270.0,1.43
82,2009,NC,4.58,60.0,40.0,19.0,15.0,32.0,0.678,542,518.0,64.0,221.0,32.0,435.0,289.0,276.0,1.36
83,2009,·Ôµ¥,4.62,59.0,29.0,30.0,9.0,27.0,0.492,531 1/3,543.0,67.0,186.0,20.0,402.0,300.0,273.0,1.37
84,2009,Å°¿ò,4.72,63.0,37.0,26.0,16.0,26.0,0.587,557,612.0,64.0,166.0,32.0,400.0,319.0,292.0,1.4
85,2009,LG,4.78,61.0,31.0,29.0,12.0,25.0,0.517,548 1/3,606.0,60.0,195.0,34.0,426.0,325.0,291.0,1.46
86,2009,SK,4.82,62.0,19.0,43.0,8.0,28.0,0.306,543 1/3,570.0,54.0,257.0,33.0,427.0,325.0,291.0,1.52
87,2009,µÎ»ê,5.11,61.0,36.0,25.0,15.0,21.0,0.59,544 2/3,629.0,47.0,198.0,25.0,406.0,344.0,309.0,1.52
88,2009,KT,5.34,61.0,31.0,30.0,11.0,23.0,0.508,541 1/3,597.0,62.0,209.0,30.0,350.0,340.0,321.0,1.49
89,2009,ÇÑÈ­,5.5,62.0,17.0,45.0,7.0,21.0,0.274,540 1/3,644.0,73.0,248.0,35.0,468.0,369.0,330.0,1.65
90,2010,KIA,4.3,59.0,32.0,27.0,12.0,27.0,0.542,516 2/3,525.0,47.0,179.0,19.0,453.0,274.0,247.0,1.36
91,2010,»ï¼º,4.46,62.0,32.0,30.0,12.0,37.0,0.516,545,550.0,67.0,230.0,31.0,385.0,301.0,270.0,1.43
92,2010,NC,4.58,60.0,40.0,19.0,15.0,32.0,0.678,542,518.0,64.0,221.0,32.0,435.0,289.0,276.0,1.36
93,2010,·Ôµ¥,4.62,59.0,29.0,30.0,9.0,27.0,0.492,531 1/3,543.0,67.0,186.0,20.0,402.0,300.0,273.0,1.37
94,2010,Å°¿ò,4.72,63.0,37.0,26.0,16.0,26.0,0.587,557,612.0,64.0,166.0,32.0,400.0,319.0,292.0,1.4
95,2010,LG,4.78,61.0,31.0,29.0,12.0,25.0,0.517,548 1/3,606.0,60.0,195.0,34.0,426.0,325.0,291.0,1.46
96,2010,SK,4.82,62.0,19.0,43.0,8.0,28.0,0.306,543 1/3,570.0,54.0,257.0,33.0,427.0,325.0,291.0,1.52
97,2010,µÎ»ê,5.11,61.0,36.0,25.0,15.0,21.0,0.59,544 2/3,629.0,47.0,198.0,25.0,406.0,344.0,309.0,1.52
98,2010,KT,5.34,61.0,31.0,30.0,11.0,23.0,0.508,541 1/3,597.0,62.0,209.0,30.0,350.0,340.0,321.0,1.49
99,2010,ÇÑÈ­,5.5,62.0,17.0,45.0,7.0,21.0,0.274,540 1/3,644.0,73.0,248.0,35.0,468.0,369.0,330.0,1.65
100,2011,KIA,4.3,59.0,32.0,27.0,12.0,27.0,0.542,516 2/3,525.0,47.0,179.0,19.0,453.0,274.0,247.0,1.36
101,2011,»ï¼º,4.46,62.0,32.0,30.0,12.0,37.0,0.516,545,550.0,67.0,230.0,31.0,385.0,301.0,270.0,1.43
102,2011,NC,4.58,60.0,40.0,19.0,15.0,32.0,0.678,542,518.0,64.0,221.0,32.0,435.0,289.0,276.0,1.36
103,2011,·Ôµ¥,4.62,59.0,29.0,30.0,9.0,27.0,0.492,531 1/3,543.0,67.0,186.0,20.0,402.0,300.0,273.0,1.37
104,2011,Å°¿ò,4.72,63.0,37.0,26.0,16.0,26.0,0.587,557,612.0,64.0,166.0,32.0,400.0,319.0,292.0,1.4
105,2011,LG,4.78,61.0,31.0,29.0,12.0,25.0,0.517,548 1/3,606.0,60.0,195.0,34.0,426.0,325.0,291.0,1.46
106,2011,SK,4.82,62.0,19.0,43.0,8.0,28.0,0.306,543 1/3,570.0,54.0,257.0,33.0,427.0,325.0,291.0,1.52
107,2011,µÎ»ê,5.11,61.0,36.0,25.0,15.0,21.0,0.59,544 2/3,629.0,47.0,198.0,25.0,406.0,344.0,309.0,1.52
108,2011,KT,5.34,61.0,31.0,30.0,11.0,23.0,0.508,541 1/3,597.0,62.0,209.0,30.0,350.0,340.0,321.0,1.49
109,2011,ÇÑÈ­,5.5,62.0,17.0,45.0,7.0,21.0,0.274,540 1/3,644.0,73.0,248.0,35.0,468.0,369.0,330.0,1.65
