,연도,팀명,경기,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루실패,도루저지율
84,2009,SK,62.0,46.0,2.0,1630.0,570.0,59.0,0.98,1.0,66.0,22.0,25.0
85,2009,NC,60.0,28.0,5.0,1626.0,550.0,55.0,0.987,1.0,15.0,17.0,53.1
86,2009,KT,61.0,42.0,4.0,1624.0,631.0,61.0,0.982,8.0,24.0,9.0,27.3
87,2009,한화,62.0,53.0,2.0,1621.0,560.0,55.0,0.976,5.0,54.0,22.0,28.9
88,2009,롯데,59.0,31.0,0.0,1594.0,616.0,58.0,0.986,4.0,39.0,13.0,25.0
89,2009,KIA,59.0,40.0,4.0,1550.0,607.0,67.0,0.982,1.0,35.0,15.0,30.0
90,2010,키움,63.0,46.0,9.0,1670.0,675.0,70.0,0.981,4.0,40.0,14.0,25.9
91,2010,LG,61.0,36.0,4.0,1645.0,611.0,61.0,0.984,5.0,35.0,18.0,34.0
92,2010,삼성,62.0,41.0,4.0,1635.0,573.0,61.0,0.982,1.0,27.0,15.0,35.7
93,2010,두산,61.0,39.0,4.0,1634.0,543.0,55.0,0.982,2.0,30.0,9.0,23.1
94,2010,SK,62.0,46.0,2.0,1630.0,570.0,59.0,0.98,1.0,66.0,22.0,25.0
95,2010,NC,60.0,28.0,5.0,1626.0,550.0,55.0,0.987,1.0,15.0,17.0,53.1
96,2010,KT,61.0,42.0,4.0,1624.0,631.0,61.0,0.982,8.0,24.0,9.0,27.3
97,2010,한화,62.0,53.0,2.0,1621.0,560.0,55.0,0.976,5.0,54.0,22.0,28.9
98,2010,롯데,59.0,31.0,0.0,1594.0,616.0,58.0,0.986,4.0,39.0,13.0,25.0
99,2010,KIA,59.0,40.0,4.0,1550.0,607.0,67.0,0.982,1.0,35.0,15.0,30.0
100,2011,키움,63.0,46.0,9.0,1670.0,675.0,70.0,0.981,4.0,40.0,14.0,25.9
101,2011,LG,61.0,36.0,4.0,1645.0,611.0,61.0,0.984,5.0,35.0,18.0,34.0
102,2011,삼성,62.0,41.0,4.0,1635.0,573.0,61.0,0.982,1.0,27.0,15.0,35.7
103,2011,두산,61.0,39.0,4.0,1634.0,543.0,55.0,0.982,2.0,30.0,9.0,23.1
104,2011,SK,62.0,46.0,2.0,1630.0,570.0,59.0,0.98,1.0,66.0,22.0,25.0
105,2011,NC,60.0,28.0,5.0,1626.0,550.0,55.0,0.987,1.0,15.0,17.0,53.1
106,2011,KT,61.0,42.0,4.0,1624.0,631.0,61.0,0.982,8.0,24.0,9.0,27.3
107,2011,한화,62.0,53.0,2.0,1621.0,560.0,55.0,0.976,5.0,54.0,22.0,28.9
108,2011,롯데,59.0,31.0,0.0,1594.0,616.0,58.0,0.986,4.0,39.0,13.0,25.0
109,2011,KIA,59.0,40.0,4.0,1550.0,607.0,67.0,0.982,1.0,35.0,15.0,30.0
110,2012,키움,63.0,46.0,9.0,1670.0,675.0,70.0,0.981,4.0,40.0,14.0,25.9
111,2012,LG,61.0,36.0,4.0,1645.0,611.0,61.0,0.984,5.0,35.0,18.0,34.0
112,2012,삼성,62.0,41.0,4.0,1635.0,573.0,61.0,0.982,1.0,27.0,15.0,35.7
113,2012,두산,61.0,39.0,4.0,1634.0,543.0,55.0,0.982,2.0,30.0,9.0,23.1
114,2012,SK,62.0,46.0,2.0,1630.0,570.0,59.0,0.98,1.0,66.0,22.0,25.0
115,2012,NC,60.0,28.0,5.0,1626.0,550.0,55.0,0.987,1.0,15.0,17.0,53.1
116,2012,KT,61.0,42.0,4.0,1624.0,631.0,61.0,0.982,8.0,24.0,9.0,27.3
117,2012,한화,62.0,53.0,2.0,1621.0,560.0,55.0,0.976,5.0,54.0,22.0,28.9
118,2012,롯데,59.0,31.0,0.0,1594.0,616.0,58.0,0.986,4.0,39.0,13.0,25.0
119,2012,KIA,59.0,40.0,4.0,1550.0,607.0,67.0,0.982,1.0,35.0,15.0,30.0
120,2013,키움,63.0,46.0,9.0,1670.0,675.0,70.0,0.981,4.0,40.0,14.0,25.9
121,2013,LG,61.0,36.0,4.0,1645.0,611.0,61.0,0.984,5.0,35.0,18.0,34.0
122,2013,삼성,62.0,41.0,4.0,1635.0,573.0,61.0,0.982,1.0,27.0,15.0,35.7
123,2013,두산,61.0,39.0,4.0,1634.0,543.0,55.0,0.982,2.0,30.0,9.0,23.1
124,2013,SK,62.0,46.0,2.0,1630.0,570.0,59.0,0.98,1.0,66.0,22.0,25.0
125,2013,NC,60.0,28.0,5.0,1626.0,550.0,55.0,0.987,1.0,15.0,17.0,53.1
126,2013,KT,61.0,42.0,4.0,1624.0,631.0,61.0,0.982,8.0,24.0,9.0,27.3
127,2013,한화,62.0,53.0,2.0,1621.0,560.0,55.0,0.976,5.0,54.0,22.0,28.9
128,2013,롯데,59.0,31.0,0.0,1594.0,616.0,58.0,0.986,4.0,39.0,13.0,25.0
129,2013,KIA,59.0,40.0,4.0,1550.0,607.0,67.0,0.982,1.0,35.0,15.0,30.0
130,2014,키움,63.0,46.0,9.0,1670.0,675.0,70.0,0.981,4.0,40.0,14.0,25.9
131,2014,LG,61.0,36.0,4.0,1645.0,611.0,61.0,0.984,5.0,35.0,18.0,34.0
132,2014,삼성,62.0,41.0,4.0,1635.0,573.0,61.0,0.982,1.0,27.0,15.0,35.7
133,2014,두산,61.0,39.0,4.0,1634.0,543.0,55.0,0.982,2.0,30.0,9.0,23.1
134,2014,SK,62.0,46.0,2.0,1630.0,570.0,59.0,0.98,1.0,66.0,22.0,25.0
135,2014,NC,60.0,28.0,5.0,1626.0,550.0,55.0,0.987,1.0,15.0,17.0,53.1
136,2014,KT,61.0,42.0,4.0,1624.0,631.0,61.0,0.982,8.0,24.0,9.0,27.3
137,2014,한화,62.0,53.0,2.0,1621.0,560.0,55.0,0.976,5.0,54.0,22.0,28.9
138,2014,롯데,59.0,31.0,0.0,1594.0,616.0,58.0,0.986,4.0,39.0,13.0,25.0
139,2014,KIA,59.0,40.0,4.0,1550.0,607.0,67.0,0.982,1.0,35.0,15.0,30.0
