,연도,팀명,경기,도루시도,도루허용,도루실패,도루성공률,주루사,견제사
179,2018,KIA,59.0,26.0,19.0,7.0,73.1,16.0,3.0
180,2019,삼성,62.0,78.0,53.0,25.0,67.9,21.0,7.0
181,2019,롯데,59.0,58.0,44.0,14.0,75.9,19.0,2.0
182,2019,KT,61.0,59.0,43.0,16.0,72.9,28.0,3.0
183,2019,키움,63.0,51.0,42.0,9.0,82.4,11.0,6.0
184,2019,LG,61.0,58.0,38.0,20.0,65.5,26.0,1.0
185,2019,NC,60.0,52.0,38.0,14.0,73.1,14.0,4.0
186,2019,SK,62.0,53.0,33.0,20.0,62.3,14.0,9.0
187,2019,한화,62.0,48.0,32.0,16.0,66.7,22.0,2.0
188,2019,두산,61.0,42.0,29.0,13.0,69.0,22.0,1.0
189,2019,KIA,59.0,26.0,19.0,7.0,73.1,16.0,3.0
190,2020,삼성,62.0,78.0,53.0,25.0,67.9,21.0,7.0
191,2020,롯데,59.0,58.0,44.0,14.0,75.9,19.0,2.0
192,2020,KT,61.0,59.0,43.0,16.0,72.9,28.0,3.0
193,2020,키움,63.0,51.0,42.0,9.0,82.4,11.0,6.0
194,2020,LG,61.0,58.0,38.0,20.0,65.5,26.0,1.0
195,2020,NC,60.0,52.0,38.0,14.0,73.1,14.0,4.0
196,2020,SK,62.0,53.0,33.0,20.0,62.3,14.0,9.0
197,2020,한화,62.0,48.0,32.0,16.0,66.7,22.0,2.0
198,2020,두산,61.0,42.0,29.0,13.0,69.0,22.0,1.0
199,2020,KIA,59.0,26.0,19.0,7.0,73.1,16.0,3.0
