,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,R/G,µæÁ¡,È¨·±,µµ·ç,º¼³Ý%,»ïÁø%,BABIP,Å¸À²,Ãâ·çÀ²,ÀåÅ¸À²,OPS,wOBA
40,2015,4,3,»ï¼º,7.0,7,2,0,5.0,7.5,0.21899999999999997,0.243,0.282,0.45899999999999996,0.741,0.31
41,2015,4,3,ÇÑÈ­,6.0,6,1,0,5.1,20.5,0.292,0.25,0.359,0.43799999999999994,0.797,0.359
42,2015,4,3,LG,3.0,3,0,0,7.0,18.6,0.25,0.2,0.31,0.314,0.624,0.28300000000000003
43,2015,4,3,µÎ»ê,0.0,0,0,0,0.0,21.9,0.24,0.188,0.188,0.188,0.376,0.172
44,2015,4,3,SK,3.0,3,2,0,11.1,36.1,0.235,0.188,0.278,0.43799999999999994,0.716,0.311
45,2015,4,3,KT,0.0,0,0,0,11.4,25.7,0.23800000000000002,0.16699999999999998,0.28600000000000003,0.267,0.5529999999999999,0.26899999999999996
46,2015,4,4,KIA,10.0,10,2,4,8.7,21.7,0.4,0.33299999999999996,0.391,0.5,0.8909999999999999,0.395
47,2015,4,4,LG,3.0,3,0,1,6.1,15.2,0.36,0.3,0.344,0.33299999999999996,0.677,0.315
48,2015,4,4,SK,10.0,10,1,1,15.2,19.6,0.35700000000000004,0.289,0.4,0.42100000000000004,0.821,0.376
49,2015,4,4,KT,2.0,2,0,3,7.9,7.9,0.281,0.257,0.316,0.34299999999999997,0.659,0.302
50,2015,4,4,Hero,4.0,4,0,2,8.3,25.0,0.292,0.212,0.278,0.33299999999999996,0.611,0.278
51,2015,4,4,»ï¼º,2.0,2,1,1,18.2,33.3,0.0,0.038,0.242,0.154,0.396,0.215
52,2015,4,5,·Ôµ¥,16.0,16,4,0,22.9,20.8,0.435,0.37799999999999995,0.521,0.784,1.305,0.542
53,2015,4,5,LG,6.0,6,0,1,5.1,18.0,0.414,0.353,0.385,0.41200000000000003,0.797,0.358
54,2015,4,5,SK,13.0,13,2,5,16.3,18.4,0.39299999999999996,0.33299999999999996,0.45799999999999996,0.564,1.022,0.451
55,2015,4,5,NC,9.0,9,3,2,5.3,15.8,0.33299999999999996,0.33299999999999996,0.405,0.636,1.041,0.44799999999999995
56,2015,4,5,KIA,4.0,4,0,0,21.4,11.9,0.308,0.258,0.425,0.32299999999999995,0.748,0.364
57,2015,4,5,Hero,7.0,7,3,0,7.0,20.9,0.37,0.35100000000000003,0.395,0.703,1.0979999999999999,0.451
58,2015,4,5,ÇÑÈ­,2.0,2,0,0,0.0,18.2,0.29600000000000004,0.242,0.242,0.273,0.515,0.233
59,2015,4,5,µÎ»ê,4.0,4,1,2,2.8,19.4,0.259,0.22899999999999998,0.25,0.314,0.564,0.253
60,2015,4,5,KT,1.0,1,0,0,6.2,15.6,0.24,0.2,0.25,0.267,0.517,0.239
61,2015,4,5,»ï¼º,5.0,5,0,2,19.4,22.2,0.19,0.14300000000000002,0.306,0.14300000000000002,0.449,0.243
62,2015,4,7,Hero,17.0,17,4,0,3.7,18.5,0.605,0.519,0.537,0.885,1.422,0.61
63,2015,4,7,ÇÑÈ­,4.0,4,0,1,15.7,11.8,0.424,0.359,0.479,0.385,0.8640000000000001,0.39899999999999997
64,2015,4,7,SK,3.0,3,0,0,18.4,13.2,0.375,0.31,0.444,0.345,0.789,0.37
65,2015,4,7,»ï¼º,3.0,3,1,2,13.5,24.3,0.318,0.258,0.35100000000000003,0.387,0.738,0.33399999999999996
66,2015,4,7,NC,5.0,5,1,3,9.8,19.5,0.26899999999999996,0.22899999999999998,0.341,0.457,0.7979999999999999,0.349
67,2015,4,7,µÎ»ê,4.0,4,0,1,2.9,25.7,0.4,0.294,0.314,0.382,0.696,0.313
68,2015,4,7,KT,2.0,2,1,2,9.8,29.3,0.429,0.294,0.368,0.441,0.809,0.364
69,2015,4,7,LG,3.0,3,1,1,16.3,30.6,0.375,0.25,0.375,0.325,0.7,0.33399999999999996
70,2015,4,7,KIA,3.0,3,1,0,2.9,25.7,0.22699999999999998,0.19399999999999998,0.235,0.32299999999999995,0.5579999999999999,0.247
71,2015,4,7,·Ôµ¥,1.0,1,1,0,9.4,31.2,0.16699999999999998,0.138,0.21899999999999997,0.276,0.495,0.226
72,2015,4,8,NC,13.0,13,3,0,13.7,9.8,0.36700000000000005,0.368,0.51,0.684,1.194,0.514
73,2015,4,8,µÎ»ê,9.0,9,1,2,10.5,18.4,0.4,0.33299999999999996,0.405,0.515,0.92,0.408
74,2015,4,8,SK,2.0,2,1,0,14.7,8.8,0.28,0.28600000000000003,0.382,0.429,0.8109999999999999,0.364
75,2015,4,8,LG,3.0,3,1,1,5.6,27.8,0.33299999999999996,0.25,0.294,0.406,0.7,0.31
76,2015,4,8,»ï¼º,4.0,4,1,1,6.4,25.8,0.2,0.179,0.226,0.28600000000000003,0.512,0.228
77,2015,4,8,·Ôµ¥,2.0,2,0,2,5.4,35.1,0.4,0.258,0.306,0.258,0.564,0.266
78,2015,4,8,Hero,4.0,4,0,1,15.0,22.5,0.348,0.25,0.385,0.344,0.7290000000000001,0.34700000000000003
79,2015,4,8,ÇÑÈ­,2.0,2,0,1,11.1,19.4,0.318,0.24100000000000002,0.33299999999999996,0.345,0.6779999999999999,0.317
80,2015,4,8,KIA,5.0,5,1,1,14.6,17.1,0.16699999999999998,0.156,0.341,0.25,0.591,0.3
81,2015,4,8,KT,1.0,1,0,1,5.9,32.4,0.23800000000000002,0.156,0.20600000000000002,0.188,0.39399999999999996,0.188
82,2015,4,9,SK,13.0,13,3,0,17.0,21.3,0.5,0.41,0.511,0.718,1.229,0.525
83,2015,4,9,NC,4.0,4,1,4,7.1,26.2,0.444,0.342,0.381,0.5529999999999999,0.934,0.397
84,2015,4,9,»ï¼º,5.0,5,3,2,14.3,11.9,0.32,0.33299999999999996,0.45,0.606,1.056,0.45899999999999996
85,2015,4,9,ÇÑÈ­,5.0,5,1,0,8.1,24.3,0.273,0.21899999999999997,0.306,0.406,0.7120000000000001,0.318
86,2015,4,9,µÎ»ê,1.0,1,0,3,9.7,19.4,0.22699999999999998,0.179,0.258,0.179,0.43700000000000006,0.218
87,2015,4,9,·Ôµ¥,4.0,4,1,1,2.6,10.5,0.276,0.265,0.324,0.41200000000000003,0.736,0.332
88,2015,4,9,KIA,2.0,2,2,1,5.6,13.9,0.185,0.20600000000000002,0.25,0.382,0.632,0.27699999999999997
89,2015,4,9,KT,2.0,2,1,0,0.0,22.9,0.24,0.20600000000000002,0.22899999999999998,0.324,0.5529999999999999,0.24600000000000002
90,2015,4,9,LG,4.0,4,0,1,20.5,12.8,0.22699999999999998,0.185,0.389,0.185,0.574,0.298
91,2015,4,9,Hero,0.0,0,0,0,10.0,26.7,0.0,0.0,0.1,0.0,0.1,0.07200000000000001
92,2015,4,10,LG,5.0,5,1,0,16.2,24.3,0.4,0.3,0.41700000000000004,0.467,0.884,0.39899999999999997
93,2015,4,10,»ï¼º,4.0,4,3,1,15.4,19.2,0.31,0.28600000000000003,0.41200000000000003,0.595,1.0070000000000001,0.429
94,2015,4,10,·Ôµ¥,10.0,10,2,2,12.0,40.0,0.4,0.23800000000000002,0.36,0.452,0.812,0.364
