,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,Å¸¼®,Å¸¼ö,¾ÈÅ¸,´ÜÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,µæÁ¡,Å¸Á¡,º¼³Ý,°íÀÇ4±¸,»ç±¸,»ïÁø,Èñ»ýÇÃ¶óÀÌ,Èñ»ýÅ¸,º´»ì,µµ·ç,µµ½Ç,Å¸À²
265,2015,05,02,ÇÑÈ­,1,34,27,6,2,2,0,2,5,5,4,0,0,4,1,3,0,0,0,0.222
266,2015,05,02,·Ôµ¥,1,36,34,7,5,2,0,0,3,3,2,0,0,10,0,0,0,0,0,0.206
267,2015,05,02,LG,1,35,33,6,6,0,0,0,3,3,1,0,0,9,1,1,0,0,0,0.182
268,2015,05,03,LG,1,34,30,3,2,0,1,0,2,1,1,0,2,9,0,1,0,0,0,0.100
269,2015,05,03,NC,1,49,42,17,10,5,0,2,11,10,4,0,1,11,1,2,1,2,0,0.405
270,2015,05,03,Hero,1,39,33,9,4,3,0,2,6,6,5,0,1,10,0,0,3,1,0,0.273
271,2015,05,03,·Ôµ¥,1,45,32,7,6,0,0,1,6,6,10,0,1,6,0,2,0,3,0,0.219
272,2015,05,03,ÇÑÈ­,1,43,36,10,4,6,0,0,3,3,6,0,1,6,0,0,1,0,0,0.278
273,2015,05,03,KT,1,35,33,6,3,2,0,1,2,2,1,0,1,6,0,0,0,0,0,0.182
274,2015,05,05,SK,1,50,39,15,11,2,0,2,11,10,8,0,3,7,0,0,3,5,0,0.385
275,2015,05,05,ÇÑÈ­,1,47,39,13,9,1,0,3,15,14,5,0,3,7,0,0,1,0,0,0.333
276,2015,05,05,KT,1,44,40,15,10,4,0,1,8,8,1,0,2,4,0,1,1,1,0,0.375
277,2015,05,05,µÎ»ê,1,44,34,13,10,2,0,1,10,10,7,0,1,4,1,1,2,0,0,0.382
278,2015,05,05,Hero,1,37,31,11,3,5,0,3,9,9,6,0,0,7,0,0,3,0,0,0.355
279,2015,05,05,NC,1,37,32,11,5,6,0,0,7,6,3,0,0,3,1,2,0,2,0,0.344
280,2015,05,05,LG,1,39,36,9,9,0,0,0,3,3,2,0,0,5,0,1,0,2,0,0.250
281,2015,05,05,·Ôµ¥,1,35,33,8,4,0,0,4,4,4,2,0,0,12,0,0,0,0,0,0.242
282,2015,05,05,»ï¼º,1,38,34,8,7,1,0,0,4,4,3,0,0,4,1,1,1,2,0,0.235
283,2015,05,05,KIA,1,36,33,6,5,0,1,0,3,2,3,0,0,5,0,0,0,0,0,0.182
284,2015,05,06,KIA,1,39,31,7,5,2,0,0,4,4,4,1,2,11,1,2,1,0,0,0.226
285,2015,05,06,NC,1,43,35,11,9,0,1,1,5,5,7,1,1,8,0,0,0,3,0,0.314
286,2015,05,06,µÎ»ê,1,36,29,7,6,1,0,0,5,5,6,0,1,3,0,0,2,1,0,0.241
287,2015,05,06,LG,1,42,33,8,6,2,0,0,4,4,6,1,1,6,1,2,1,2,0,0.242
288,2015,05,06,ÇÑÈ­,1,37,31,6,4,0,0,2,5,3,3,0,1,12,0,2,0,0,0,0.194
289,2015,05,06,SK,1,43,36,13,10,0,1,2,5,5,6,0,0,5,0,1,1,1,0,0.361
290,2015,05,06,KT,1,47,41,14,10,3,0,1,8,8,6,1,0,6,0,0,1,2,0,0.341
291,2015,05,06,»ï¼º,1,40,33,10,5,2,1,2,5,5,4,0,0,6,1,3,1,1,0,0.303
292,2015,05,06,Hero,1,33,32,8,7,1,0,0,3,3,1,0,0,9,0,0,1,0,0,0.250
293,2015,05,06,·Ôµ¥,1,35,33,7,4,3,0,0,3,3,2,0,0,9,0,0,1,1,0,0.212
294,2015,05,07,»ï¼º,1,51,40,16,11,2,0,3,13,13,9,0,2,7,0,0,2,0,0,0.400
295,2015,05,07,KT,1,42,34,11,10,1,0,0,7,7,5,1,2,7,1,1,2,3,0,0.324
296,2015,05,07,SK,1,33,30,5,3,0,0,2,3,3,1,0,1,9,0,1,0,0,0,0.167
297,2015,05,07,µÎ»ê,1,46,41,9,6,2,1,0,4,4,4,0,1,9,0,0,1,1,0,0.220
298,2015,05,07,Hero,1,37,33,6,4,0,0,2,4,4,3,0,1,14,0,0,0,0,0,0.182
299,2015,05,07,LG,1,51,39,9,8,0,0,1,6,5,10,0,0,11,2,2,1,2,0,0.231
300,2015,05,07,KIA,1,37,30,4,2,1,0,1,4,4,4,0,0,8,1,3,0,1,0,0.133
301,2015,05,07,ÇÑÈ­,1,39,31,8,5,2,0,1,6,5,7,0,0,5,1,1,1,0,0,0.258
302,2015,05,07,·Ôµ¥,1,36,31,7,6,0,0,1,2,2,4,0,0,10,0,1,2,1,0,0.226
303,2015,05,07,NC,1,37,31,6,5,1,0,0,2,2,6,0,0,10,0,0,2,2,0,0.194
304,2015,05,08,ÇÑÈ­,1,45,36,13,9,4,0,0,10,10,4,1,2,9,0,3,1,1,0,0.361
305,2015,05,08,µÎ»ê,1,43,38,12,6,4,0,2,6,6,3,1,2,3,0,0,1,0,0,0.316
306,2015,05,08,KT,1,34,30,12,9,3,0,0,7,7,2,0,1,5,1,1,2,2,0,0.400
