,¿¬µµ,ÆÀ¸í,»ïÁø,¼¼ÀÌºê,ÀÌ´×´ç_Ãâ·çÇã¿ë·ü,Æò±ÕÀÚÃ¥Á¡,È¦µå
0,2015,KIA,54.294117647058826,1.8823529411764706,1.5735294117647058,5.1788235294117655,3.6470588235294117
1,2015,KT,49.526315789473685,0.8421052631578947,1.658421052631579,5.61,1.631578947368421
2,2015,LG,61.875,1.5625,1.443125,4.801875,2.6875
3,2015,NC,64.1875,2.3125,1.475,4.696249999999999,3.1875
4,2015,SK,66.3529411764706,1.8235294117647058,1.5082352941176473,4.798235294117647,3.4705882352941178
5,2015,µÎ»ê,60.23529411764706,1.7647058823529411,1.6364705882352943,5.338823529411763,3.3529411764705883
6,2015,·Ôµ¥,55.666666666666664,1.0555555555555556,1.6516666666666666,5.656111111111111,2.5555555555555554
7,2015,»ï¼º,84.46153846153847,2.6153846153846154,1.4646153846153849,4.979230769230769,4.384615384615385
8,2015,Å°¿ò,57.166666666666664,1.6111111111111112,1.6627777777777777,5.6994444444444445,2.4444444444444446
9,2015,ÇÑÈ­,55.25,2.0,1.595625,4.896875,2.8125
10,2016,KIA,49.10526315789474,1.9473684210526316,1.6984210526315795,5.56,3.789473684210526
11,2016,KT,54.72222222222222,1.4444444444444444,1.6883333333333335,5.8627777777777785,2.6666666666666665
12,2016,LG,44.85,1.7,1.613,5.6935,3.75
13,2016,NC,61.611111111111114,1.9444444444444444,1.5149999999999997,4.9655555555555555,3.2777777777777777
14,2016,SK,48.26315789473684,1.631578947368421,1.5789473684210527,5.4789473684210535,2.1052631578947367
15,2016,µÎ»ê,51.421052631578945,1.894736842105263,1.5726315789473686,4.988947368421053,2.9473684210526314
16,2016,·Ôµ¥,59.9375,1.6875,1.71,5.845000000000001,3.5625
17,2016,»ï¼º,52.529411764705884,2.0,1.5682352941176472,5.622941176470588,3.411764705882353
18,2016,Å°¿ò,44.611111111111114,2.111111111111111,1.5294444444444444,4.986111111111111,4.111111111111111
19,2016,ÇÑÈ­,53.94117647058823,1.411764705882353,1.6947058823529408,5.810588235294118,2.2941176470588234
20,2017,KIA,54.44444444444444,2.388888888888889,1.6583333333333332,5.8500000000000005,2.888888888888889
21,2017,KT,54.666666666666664,1.4666666666666666,1.6419999999999997,6.389333333333331,2.3333333333333335
22,2017,LG,74.6923076923077,2.3846153846153846,1.333076923076923,4.582307692307693,4.615384615384615
23,2017,NC,71.46666666666667,2.1333333333333333,1.415333333333333,4.701333333333333,3.4
24,2017,SK,65.23076923076923,2.076923076923077,1.5130769230769232,5.162307692307692,4.461538461538462
25,2017,µÎ»ê,58.9375,2.1875,1.5849999999999997,5.19125,2.875
26,2017,·Ôµ¥,58.44444444444444,2.1666666666666665,1.518888888888889,5.070555555555555,3.2777777777777777
27,2017,»ï¼º,55.44444444444444,1.5,1.7344444444444445,6.295555555555555,1.8333333333333333
28,2017,Å°¿ò,51.26315789473684,1.5263157894736843,1.6526315789473687,6.06,3.1578947368421053
29,2017,ÇÑÈ­,44.94736842105263,1.5789473684210527,1.6300000000000001,5.654210526315791,2.4210526315789473
30,2018,KIA,63.86666666666667,1.7333333333333334,1.6153333333333333,5.649333333333334,2.8
31,2018,KT,54.5,1.1666666666666667,1.6344444444444444,5.774444444444445,2.2222222222222223
32,2018,LG,62.75,1.8125,1.5937499999999996,6.07125,2.5
33,2018,NC,49.55,1.2,1.5820000000000003,5.7490000000000006,2.55
34,2018,SK,58.68421052631579,1.5263157894736843,1.516842105263158,5.457894736842104,3.3157894736842106
35,2018,µÎ»ê,57.1764705882353,2.3529411764705883,1.49,4.995882352941177,3.2941176470588234
36,2018,·Ôµ¥,59.526315789473685,1.5263157894736843,1.5563157894736843,5.330000000000001,3.3684210526315788
37,2018,»ï¼º,57.26315789473684,1.736842105263158,1.4978947368421054,5.179473684210525,2.9473684210526314
38,2018,Å°¿ò,52.0,1.6842105263157894,1.5610526315789475,5.55,3.789473684210526
39,2018,ÇÑÈ­,55.1,1.85,1.4615,4.906000000000001,3.1
40,2019,KIA,52.44444444444444,1.6666666666666667,1.5805555555555555,5.022777777777779,3.5555555555555554
41,2019,KT,56.5,2.642857142857143,1.437857142857143,4.797142857142857,4.142857142857143
42,2019,LG,52.294117647058826,2.588235294117647,1.4570588235294117,4.276470588235293,3.6470588235294117
43,2019,NC,55.705882352941174,1.8823529411764706,1.372941176470588,3.9552941176470586,3.9411764705882355
44,2019,SK,61.5625,3.0625,1.3325,3.7993750000000004,5.5625
45,2019,µÎ»ê,56.733333333333334,2.933333333333333,1.2606666666666666,3.5766666666666667,4.6
46,2019,·Ôµ¥,54.36842105263158,0.8421052631578947,1.586842105263158,5.9047368421052635,2.4210526315789473
47,2019,»ï¼º,50.0,1.6111111111111112,1.4605555555555556,4.722777777777777,3.3333333333333335
48,2019,Å°¿ò,57.1764705882353,2.2941176470588234,1.313529411764706,3.7076470588235293,5.352941176470588
49,2019,ÇÑÈ­,50.333333333333336,1.5,1.6316666666666668,5.236111111111111,2.388888888888889
50,2020,KIA,31.066666666666666,1.0,1.6666666666666667,4.740666666666667,2.1333333333333333
51,2020,KT,24.466666666666665,0.7333333333333333,1.5539999999999998,6.174,1.4666666666666666
52,2020,LG,32.0,0.8571428571428571,1.4907142857142852,4.858571428571428,1.8571428571428572
53,2020,NC,29.125,0.9375,1.4281249999999999,5.425624999999999,2.25
54,2020,SK,22.57894736842105,0.5789473684210527,1.6905263157894739,5.75421052631579,1.1578947368421053
